,ADVO,ADVO,Baseline,Baseline,Baseline_balanced,Baseline_balanced,CTGAN,CTGAN,KMeansSMOTE,KMeansSMOTE,Random,Random,SMOTE,SMOTE,TIMEGAN,TIMEGAN
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Precision,0.09,0.02,0.18,0.05,0.01,0.0,0.06,0.01,0.01,0.0,0.01,0.0,0.08,0.02,0.1,0.02
Recall,0.25,0.05,0.07,0.02,0.76,0.03,0.26,0.05,0.48,0.04,0.47,0.04,0.25,0.05,0.24,0.05
F1,0.13,0.02,0.1,0.03,0.02,0.0,0.1,0.02,0.02,0.0,0.03,0.01,0.12,0.02,0.14,0.02
PRAUC,0.07,0.02,0.05,0.02,0.11,0.02,0.05,0.01,0.06,0.01,0.06,0.02,0.06,0.02,0.07,0.02
PRAUC_C,0.1,0.02,0.08,0.02,0.21,0.03,0.08,0.02,0.1,0.02,0.1,0.02,0.09,0.02,0.11,0.02
Pk50,0.25,0.12,0.29,0.13,0.08,0.04,0.18,0.08,0.15,0.07,0.15,0.08,0.26,0.1,0.25,0.09
Pk100,0.25,0.1,0.29,0.13,0.08,0.03,0.18,0.06,0.15,0.06,0.16,0.06,0.23,0.09,0.25,0.08
Pk200,0.25,0.1,0.26,0.1,0.08,0.03,0.19,0.06,0.15,0.05,0.17,0.06,0.24,0.09,0.27,0.1
Pk500,0.26,0.11,0.24,0.1,0.08,0.02,0.2,0.08,0.15,0.05,0.17,0.07,0.23,0.09,0.27,0.1
Pk1000,0.24,0.08,0.22,0.08,0.08,0.02,0.21,0.07,0.15,0.05,0.17,0.06,0.23,0.09,0.25,0.07
Pk2000,0.22,0.06,0.18,0.06,0.08,0.02,0.19,0.06,0.16,0.05,0.2,0.06,0.2,0.07,0.23,0.07
