,ADVO,ADVO,Baseline,Baseline,Baseline_balanced,Baseline_balanced,CTGAN,CTGAN,KMeansSMOTE,KMeansSMOTE,Random,Random,SMOTE,SMOTE,TIMEGAN,TIMEGAN
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Precision,0.14,0.09,0.26,0.09,0.05,0.03,0.13,0.08,0.11,0.07,0.09,0.07,0.13,0.08,0.14,0.09
Recall,0.51,0.15,0.18,0.11,0.9,0.02,0.51,0.15,0.59,0.13,0.78,0.05,0.58,0.12,0.51,0.15
F1,0.21,0.11,0.2,0.1,0.1,0.05,0.2,0.1,0.18,0.1,0.15,0.1,0.21,0.11,0.21,0.11
PRAUC,0.22,0.12,0.17,0.11,0.3,0.11,0.22,0.13,0.2,0.12,0.23,0.13,0.24,0.13,0.22,0.13
PRAUC_C,0.38,0.14,0.32,0.15,0.48,0.08,0.38,0.15,0.39,0.11,0.45,0.1,0.41,0.12,0.39,0.15
Pk50,0.46,0.14,0.53,0.14,0.08,0.07,0.43,0.14,0.18,0.15,0.15,0.13,0.28,0.17,0.46,0.13
Pk100,0.46,0.12,0.52,0.14,0.09,0.08,0.43,0.1,0.18,0.12,0.14,0.11,0.28,0.13,0.46,0.11
Pk200,0.45,0.11,0.5,0.14,0.11,0.07,0.44,0.1,0.21,0.11,0.14,0.09,0.28,0.12,0.46,0.11
Pk500,0.42,0.11,0.4,0.16,0.12,0.08,0.42,0.11,0.22,0.1,0.13,0.08,0.28,0.11,0.42,0.11
Pk1000,0.36,0.11,0.31,0.14,0.12,0.07,0.36,0.12,0.21,0.09,0.13,0.09,0.27,0.11,0.36,0.12
Pk2000,0.28,0.11,0.23,0.12,0.13,0.08,0.28,0.11,0.2,0.1,0.13,0.09,0.26,0.11,0.28,0.11
