,ADVO,ADVO,Baseline,Baseline,Baseline_balanced,Baseline_balanced,CTGAN,CTGAN,KMeansSMOTE,KMeansSMOTE,Random,Random,SMOTE,SMOTE,TIMEGAN,TIMEGAN
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
F1,0.13,0.01,0.09,0.02,0.01,0.0,0.09,0.01,0.02,0.0,0.02,0.01,0.12,0.01,0.13,0.01
PRAUC,0.05,0.01,0.04,0.01,0.11,0.01,0.04,0.01,0.04,0.01,0.03,0.01,0.05,0.01,0.05,0.01
PRAUC_C,0.08,0.01,0.06,0.01,0.22,0.01,0.06,0.01,0.08,0.01,0.07,0.01,0.08,0.01,0.09,0.01
Pk100,0.22,0.05,0.22,0.08,0.09,0.02,0.17,0.04,0.15,0.05,0.12,0.06,0.22,0.06,0.22,0.05
Pk1000,0.22,0.03,0.2,0.03,0.08,0.01,0.18,0.05,0.13,0.02,0.14,0.01,0.21,0.06,0.23,0.05
Pk200,0.21,0.05,0.22,0.07,0.08,0.01,0.17,0.04,0.13,0.02,0.1,0.03,0.23,0.06,0.22,0.04
Pk2000,0.2,0.03,0.16,0.02,0.08,0.01,0.16,0.02,0.15,0.03,0.16,0.03,0.19,0.03,0.21,0.03
Pk50,0.22,0.03,0.24,0.1,0.06,0.04,0.15,0.06,0.16,0.07,0.14,0.08,0.23,0.05,0.2,0.02
Pk500,0.25,0.05,0.2,0.05,0.08,0.01,0.2,0.07,0.13,0.02,0.12,0.01,0.23,0.04,0.26,0.05
Precision,0.11,0.01,0.16,0.02,0.01,0.0,0.06,0.01,0.01,0.0,0.01,0.0,0.09,0.01,0.11,0.01
Recall,0.16,0.02,0.06,0.02,0.72,0.03,0.18,0.02,0.41,0.02,0.39,0.03,0.17,0.02,0.16,0.02
