Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,ADVO
0.08446207201276039,0.13471282735353,0.12716916604906672,0.13867588048204943,0.12842262112361752,0.12208101640545087
0.11546907723969133,0.12906932512514285,0.15430944341348182,0.19027332247716774,0.2522640781812139,0.1416746080453211
0.11904761904761904,0.09965635738831616,0.10619469026548672,0.10778443113772455,0.11029411764705882,0.11650485436893204
0.1282051282051282,0.7435897435897436,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.3076923076923077
0.12345679012345678,0.17575757575757575,0.15789473684210525,0.1747572815533981,0.17142857142857143,0.16901408450704228
0.12,0.14,0.16,0.12,0.14,0.2
0.1,0.15,0.12,0.13,0.12,0.12
0.065,0.12,0.105,0.105,0.12,0.105
0.046,0.068,0.072,0.068,0.074,0.072
0.039,0.039,0.039,0.039,0.039,0.039
0.0195,0.0195,0.0195,0.0195,0.0195,0.0195
