,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.0769230769230769,0.0149161641604966,0.1232745660789941,0.0246162175378543,0.0216685630781993,0.0706157747577865,0.1208361429534726,0.1318564466105449
dataset2,0.0957123770193125,0.0109583941299035,0.1153933865450399,0.0177193299953751,0.0157519517069224,0.0756095488913431,0.1223942823108993,0.1173401631568962
dataset3,0.0968660968660968,0.0161288843373125,0.111096707285455,0.0235469448584202,0.0211724764024822,0.1015354977619128,0.1262541134922546,0.12699722451429
dataset4,0.0967158495954307,0.0159122486708693,0.0929186517917912,0.0243160146675447,0.0208832439695275,0.0699682763482552,0.1225743729340851,0.1110144159824435
dataset5,0.0859516070783676,0.0148341433807892,0.114251310383907,0.0256929810342032,0.0217707883586655,0.1064559790991217,0.1361698425128339,0.1303104739660935
dataset6,0.0906746031746031,0.0182770636697205,0.1166880433233575,0.0319981504949138,0.0274032593868906,0.1010871449444045,0.147900466562986,0.1419369335630289
dataset7,0.1009956049869943,0.0191941868536229,0.1267703278201446,0.0324536535407359,0.028199990381995,0.0961319218241042,0.150924814575447,0.1449449793672627
dataset8,0.1400912141812236,0.020315478198119,0.1472972568727751,0.0298260091915763,0.0272922020931571,0.1122467038315193,0.1525760587066197,0.1506147540983606
dataset9,0.1237205961572993,0.0204186568238594,0.1131879110815086,0.0281084579644483,0.0252863428302595,0.1069320092270399,0.1444540462186045,0.1389302424500212
dataset10,0.1246684350132626,0.0112690446855185,0.0874344241818636,0.0176807551780177,0.0176909277582841,0.0718202487628728,0.1112621562271253,0.1058093397090243
dataset11,0.0650594451783355,0.0154384452473999,0.1186948560013317,0.0273015824918375,0.0234709475466343,0.0893651909112204,0.1304774654172244,0.1187325905292479
dataset12,0.1057941769962525,0.016421390318085,0.1068120529956618,0.0291301145114846,0.0245929953978671,0.1026886766410865,0.1394572025052192,0.1363912515188335
dataset13,0.0704790040092846,0.0160097397656368,0.1247673023621395,0.0305717495816878,0.0257160542456811,0.0767073410745916,0.1366260734559216,0.1309853401715608
dataset14,0.1264660887302396,0.0189543743552483,0.1638386475231524,0.0352784840857109,0.0301024058432197,0.1132209545616043,0.1782452255743149,0.1687590855028413
dataset15,0.1397067588508761,0.0193225190839694,0.1587811576929056,0.0302688364680653,0.0276625172890733,0.1344393346800189,0.1758822853201517,0.1632949592042025
dataset16,0.1426448736998514,0.0199598130754979,0.1604350781781101,0.0333689083112831,0.0292091128984468,0.1054205320861765,0.1647611788617886,0.1627047665968715
dataset17,0.1258572975574539,0.0236465099971756,0.1178693539679683,0.0325792823145622,0.0293490759852388,0.1076613241587648,0.1566891241578441,0.1431007185482888
dataset18,0.1583885209713024,0.0146305299676014,0.1328121033659948,0.022487923061424,0.0197828568084047,0.1248279462717737,0.1693489148580968,0.1574585635359116
dataset19,0.0492866407263294,0.009145250434068,0.098651525904897,0.0206320450885668,0.017182403945589,0.1115982463132722,0.1234023799030409,0.1241625725770433
dataset20,0.106239092495637,0.0143750477792217,0.1250976040767681,0.020283696247344,0.0185001672261516,0.0972533548522071,0.1371469495546305,0.1212591986917416
dataset21,0.0848618784530386,0.0151368232448236,0.1010407751980785,0.0248987760040955,0.0219824408551705,0.0866846464116088,0.1329238522718324,0.1239731142643764
dataset22,0.0761353517364203,0.0137256089297196,0.1187514826990205,0.0233010000075019,0.020227953475707,0.0932262012451444,0.1326873485973274,0.1329249617151608
dataset23,0.0716685330347144,0.0111498655556578,0.1024491652049632,0.0179595084908078,0.0158084280435901,0.0761326731619017,0.1199476211261457,0.116689053055742
dataset24,0.0761882297440736,0.01333285566721,0.1123492723492723,0.0182406998353371,0.0158015283647606,0.079446579554189,0.1199890670553936,0.1141240478781283
dataset25,0.0756148293160406,0.011439575608445,0.090975416336241,0.0165866404701998,0.0149094599036716,0.0716381418092909,0.1145751462754344,0.1074448681810645
dataset26,0.0951902801486093,0.0157922029589514,0.1204206904640888,0.0247251236943375,0.0221168396413391,0.0874585635359116,0.1443805592412403,0.1393360618462937
