,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.03864914453036,0.1068082767293175,0.0605619588275217,0.0471534620696367,0.0502720087792021,0.0474441019571467,0.0643517660749496,0.0613706816552126
dataset2,0.028960165669915,0.1189654578269728,0.0497501815262258,0.029790665521703,0.0386101705746133,0.0386140215874784,0.0526807881178642,0.0509504030916537
dataset3,0.0504826689685528,0.107938820945893,0.0556338209180784,0.0532446197272004,0.0512147766870701,0.0585092459122683,0.065234549522488,0.0692247476906346
dataset4,0.0362401672261314,0.1052946599811953,0.0479208044494479,0.0444442337677693,0.0440706999166356,0.0392202148451182,0.0549702089174419,0.0518954821163712
dataset5,0.0434487869673318,0.1017209507081067,0.0563649226145605,0.0525942146868289,0.0507913782357609,0.0547159793670733,0.0643247433712071,0.0629856544433858
dataset6,0.049584058618408,0.1185408883599887,0.052819930928482,0.0514856827161883,0.061259368062211,0.0511995213392362,0.0722819770816113,0.0699867093497553
dataset7,0.0583616296708316,0.1143841083921319,0.0611945356380385,0.075665516531595,0.0682133012553738,0.0555092068858111,0.0852897152701813,0.0718891959376524
dataset8,0.0758211371533331,0.1168711463453689,0.1007977524206835,0.0768137144796802,0.0792026712377634,0.0763229477589757,0.0974233903813462,0.0878095126183929
dataset9,0.0686553964786463,0.1291503664422384,0.0764480529115048,0.0715749470336281,0.0630870416366135,0.073898904349364,0.0880158889156793,0.08552685967188
dataset10,0.0630895018404571,0.0997398628537822,0.0560434490226047,0.0704868311847674,0.062998853005119,0.0565981871382984,0.0699883799600127,0.0752225594242247
dataset11,0.0358681678682866,0.1124588029463019,0.0444378217986206,0.0377669890327677,0.0412424415885759,0.0316739721358687,0.0490230885479093,0.046489946924599
dataset12,0.0463942890016311,0.1114738814951085,0.0433755856470698,0.0509686458905645,0.0515376588356793,0.044290623499225,0.0620740261764286,0.0629535933877099
dataset13,0.037917301187777,0.1078815320973929,0.0529461996007059,0.0412382146521536,0.0398933874567752,0.0353852919441625,0.0599907206762934,0.0586784841525976
dataset14,0.0724874504541707,0.1100723533467385,0.081405138606308,0.0907172912930072,0.0820615650604194,0.0595717584913801,0.092156678194566,0.0831246753013554
dataset15,0.0718873301798517,0.1111521988221684,0.0737260668310148,0.067972638245835,0.0709792523808918,0.0606795970489582,0.082152364346733,0.0754555845316352
dataset16,0.0796664099885871,0.123391445355085,0.078016338264282,0.0907687907971531,0.0830886208455789,0.0592518912822485,0.0869137930874183,0.1066299147553378
dataset17,0.0661879929050889,0.1393377362715138,0.069255646622892,0.0554481693099359,0.0659840294902398,0.0649951413438618,0.0913675286886987,0.0891759851163874
dataset18,0.0674705899284278,0.1305375787573324,0.0782240591093283,0.0712642411080907,0.0702266099839879,0.0696033843728357,0.0839957320875662,0.0849910134386821
dataset19,0.0363647361223396,0.0559218359738609,0.0320184050457584,0.0701618245450761,0.0454953874422437,0.0435398414063209,0.0469598424419191,0.043652460487233
dataset20,0.0447124234377043,0.1158987295120231,0.0616648459148237,0.0513277017324782,0.053048967045362,0.0548982463164942,0.0665736926579862,0.0640757119117605
dataset21,0.0377531185577575,0.1298112642709565,0.0507187350880814,0.0452714244029056,0.0482040796746428,0.0485584587440843,0.0618072739552519,0.0581900465022147
dataset22,0.0403760106788595,0.1249125550723549,0.0619006977192224,0.0466620332269521,0.049107256416713,0.0483899185240523,0.0632536938365472,0.0644243354450238
dataset23,0.0352950181623978,0.1193190893820862,0.0500201139634757,0.0409040756091831,0.0454552418300124,0.0415218594251957,0.0565402098778787,0.0554396838675119
dataset24,0.03055709445143,0.1071075559141871,0.048663754364811,0.0322698187258679,0.0343439774440761,0.0369283880629629,0.0455219515590473,0.0452109412915076
dataset25,0.0332009243317596,0.1072810576661623,0.036480737352081,0.0391291775483581,0.0325812418919233,0.0358553861820448,0.0569100778707991,0.0522426458834145
dataset26,0.0519200951973394,0.1213206526868352,0.0614875384921357,0.059697000571643,0.05539016617664,0.0435129932048274,0.0717496740226615,0.0667887458856211
