,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.0690970062674762,0.2120973435573963,0.1084557300467233,0.0915807128363826,0.1048774587853869,0.0927125675730524,0.1123230554317081,0.1071776312431964
dataset2,0.0480543377198748,0.2288302460545477,0.0766185945056197,0.0610772820396568,0.0857313072864057,0.0656949111861094,0.081802420283173,0.0810382291983814
dataset3,0.0732905690850266,0.2065740717322315,0.0858258447193782,0.0951783892533518,0.0875603084953257,0.0950784750254728,0.0978339185638463,0.1026988254507598
dataset4,0.0628551239593168,0.2155481633286842,0.0723752669971172,0.0887521370701655,0.0879426005321603,0.0682830644155385,0.0867233051203807,0.0808814853519625
dataset5,0.0762849178240855,0.1977092897500645,0.0970426638483092,0.104053711369937,0.1006381507112099,0.0947051638248353,0.1124742139925577,0.1045811053823444
dataset6,0.0709804988654338,0.2085753407870008,0.0753311013896612,0.0826831044858791,0.1038020520399153,0.0790794726095265,0.1047984699877766,0.0988787492431827
dataset7,0.0879804269322445,0.2285881989480208,0.1077548063049694,0.1225973313533834,0.1039374897481072,0.0865417663292718,0.1226525889822091,0.1205805249415455
dataset8,0.1194057105313528,0.2222933397437391,0.1508977581545407,0.1147032599021902,0.1256157388637447,0.1283161485682788,0.1465754371413939,0.1422501273633139
dataset9,0.1257754570304963,0.2451100949003644,0.1349931417358242,0.1443975968928815,0.1219992699445653,0.1278865816249841,0.149649556420171,0.1456606112908171
dataset10,0.086620270006691,0.145719257226479,0.0728080954160087,0.1092800016429975,0.0931752226258551,0.0744953032438061,0.095268653346077,0.1002149963526029
dataset11,0.0615490805878122,0.2170651667716149,0.072382111842668,0.0722072257047919,0.0821353254624393,0.0503195058276004,0.0800230041644751,0.0765383550695348
dataset12,0.0649395946792324,0.2062223374386704,0.0585222064258518,0.0827295841904056,0.0888698537142234,0.0607339104401477,0.0819436183951834,0.0854640339060251
dataset13,0.0610017340361015,0.2132742397810705,0.0840053939521803,0.0744250769346123,0.0797347962811694,0.0597509020920895,0.0959063717213382,0.092892564290432
dataset14,0.0884171741189695,0.1766089966426523,0.1105367398318333,0.1208730066235433,0.1089868122208429,0.0825058039131172,0.1203511537881055,0.1125810953164402
dataset15,0.1213811045434877,0.2079847041476532,0.1209819588927969,0.1251942182149863,0.1302910871250721,0.1003911296796022,0.1298275150089612,0.1182675915881988
dataset16,0.1039506340899287,0.2069606498789626,0.1010940059501116,0.1140420537730317,0.1118436254529498,0.0855451963828375,0.132690975322346,0.1310614213804389
dataset17,0.1065667552489765,0.2401170562159516,0.1125572011812779,0.1133954608714754,0.1268144276458586,0.1044686722165746,0.1469255712170071,0.1500998699876009
dataset18,0.1068742303329898,0.2289484567768374,0.1320193622028724,0.1296563089696998,0.1266584152796282,0.1118165540878199,0.1315494272840005,0.1299674457726304
dataset19,0.0529409162692408,0.0760738443353443,0.0429754550737413,0.1143627144933193,0.0670188684821389,0.061990218758445,0.0647328890662271,0.0602807514061909
dataset20,0.0703162096636191,0.2082672754425506,0.0953394474127304,0.0993373333330955,0.1067141252697828,0.0907778260753214,0.1013235010079763,0.0973245311245699
dataset21,0.059676126818592,0.2390732056535195,0.0821784038629456,0.0924790489409098,0.0966479195030943,0.0815847020235188,0.0967235774715076,0.0942223243225887
dataset22,0.0600967425411441,0.2235516096477585,0.0848068986978502,0.0757498481886441,0.0887824405812922,0.0711061039115204,0.0864958904442588,0.0880222972179909
dataset23,0.0655364522546047,0.2217214803404396,0.0875948492053293,0.0849991357963182,0.0934526770362059,0.0787695507163483,0.1001824740478709,0.1013129417535753
dataset24,0.056191433407975,0.1941401516902259,0.0809129077923435,0.067931073646616,0.0739150330571479,0.0575350712207202,0.0802958066112757,0.072249319038967
dataset25,0.0644111734570017,0.2146295233768494,0.0649037247816181,0.0876382014646264,0.0770532093818542,0.0667650662157135,0.1084750554004287,0.0992128375423963
dataset26,0.0825255504721023,0.2435179717418849,0.0933973235455237,0.1085043286645398,0.1045379821358712,0.0856709631763321,0.1225825652145671,0.1157737281149783
