,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.155,0.1,0.145,0.11,0.125,0.09,0.22,0.15
dataset2,0.225,0.1,0.265,0.185,0.15,0.215,0.215,0.235
dataset3,0.17,0.03,0.175,0.065,0.115,0.105,0.09,0.16
dataset4,0.26,0.095,0.215,0.165,0.145,0.13,0.225,0.28
dataset5,0.165,0.08,0.215,0.16,0.115,0.12,0.195,0.15
dataset6,0.315,0.11,0.235,0.15,0.15,0.26,0.22,0.285
dataset7,0.39,0.13,0.3,0.135,0.19,0.31,0.565,0.45
dataset8,0.285,0.105,0.255,0.2,0.19,0.16,0.3,0.285
dataset9,0.21,0.095,0.29,0.135,0.225,0.22,0.185,0.26
dataset10,0.255,0.09,0.205,0.18,0.095,0.185,0.255,0.28
dataset11,0.315,0.07,0.345,0.285,0.225,0.3,0.39,0.335
dataset12,0.18,0.06,0.15,0.145,0.165,0.165,0.19,0.185
dataset13,0.245,0.105,0.28,0.115,0.195,0.205,0.345,0.335
dataset14,0.37,0.07,0.285,0.17,0.145,0.21,0.3,0.35
dataset15,0.41,0.055,0.33,0.17,0.145,0.205,0.41,0.42
dataset16,0.2,0.06,0.13,0.15,0.175,0.155,0.22,0.305
dataset17,0.405,0.065,0.205,0.295,0.275,0.2,0.3,0.56
dataset18,0.235,0.085,0.185,0.125,0.15,0.14,0.205,0.22
dataset19,0.205,0.085,0.255,0.1,0.195,0.145,0.215,0.26
dataset20,0.15,0.085,0.22,0.085,0.125,0.105,0.17,0.175
dataset21,0.235,0.105,0.28,0.125,0.135,0.095,0.29,0.17
dataset22,0.07,0.02,0.065,0.115,0.015,0.095,0.09,0.085
dataset23,0.45,0.075,0.32,0.165,0.205,0.25,0.375,0.265
dataset24,0.18,0.055,0.155,0.12,0.14,0.07,0.165,0.165
dataset25,0.28,0.08,0.325,0.19,0.155,0.24,0.35,0.31
dataset26,0.17,0.085,0.15,0.115,0.12,0.145,0.16,0.135
