,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.1575,0.0815,0.211,0.185,0.146,0.21,0.236,0.2085
dataset2,0.143,0.0675,0.1645,0.11,0.1065,0.1575,0.1675,0.172
dataset3,0.199,0.0815,0.2475,0.256,0.195,0.253,0.2545,0.2805
dataset4,0.152,0.0845,0.151,0.195,0.1055,0.168,0.2215,0.228
dataset5,0.161,0.0685,0.2035,0.2065,0.1245,0.202,0.221,0.225
dataset6,0.1925,0.0915,0.199,0.24,0.1815,0.197,0.265,0.255
dataset7,0.2335,0.092,0.2155,0.219,0.165,0.1915,0.2695,0.2095
dataset8,0.323,0.1015,0.38,0.2925,0.211,0.361,0.387,0.3515
dataset9,0.284,0.1235,0.284,0.247,0.2055,0.2865,0.3155,0.31
dataset10,0.1105,0.046,0.1155,0.1505,0.1,0.1045,0.115,0.125
dataset11,0.146,0.0775,0.17,0.177,0.18,0.128,0.202,0.1645
dataset12,0.1785,0.071,0.103,0.181,0.186,0.179,0.217,0.222
dataset13,0.167,0.0795,0.2025,0.1905,0.131,0.153,0.219,0.2165
dataset14,0.236,0.0815,0.2675,0.3085,0.239,0.2005,0.3125,0.265
dataset15,0.1895,0.08,0.21,0.226,0.1735,0.2175,0.2355,0.232
dataset16,0.28,0.104,0.285,0.306,0.279,0.2695,0.328,0.327
dataset17,0.2485,0.1205,0.2755,0.181,0.2445,0.249,0.2945,0.2915
dataset18,0.214,0.08,0.24,0.21,0.19,0.2155,0.2635,0.267
dataset19,0.071,0.0125,0.0685,0.0755,0.073,0.07,0.07,0.07
dataset20,0.183,0.086,0.1965,0.172,0.1515,0.19,0.225,0.2145
dataset21,0.145,0.0955,0.1345,0.13,0.135,0.161,0.1835,0.168
dataset22,0.142,0.0915,0.1505,0.1225,0.129,0.129,0.167,0.167
dataset23,0.134,0.0595,0.131,0.1855,0.126,0.12,0.1795,0.189
dataset24,0.1515,0.0755,0.171,0.122,0.122,0.1355,0.1515,0.1525
dataset25,0.1445,0.073,0.0875,0.1835,0.129,0.162,0.2425,0.2005
dataset26,0.2215,0.102,0.2365,0.217,0.189,0.211,0.27,0.2575
