,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.1567567567567567,0.0075330595304446,0.0862222788682131,0.012653909514896,0.0110986363530044,0.0408495912533226,0.0840735643688227,0.0912267794739746
dataset2,0.133423636979343,0.0055229725394779,0.0759987984379693,0.0090518746789933,0.0080224261676187,0.0444511037858355,0.0829297820823244,0.078271323715515
dataset3,0.1928446771378708,0.0081495715141891,0.0713512613437682,0.0120660688180489,0.0108160477748483,0.0629567172568859,0.0869829683698296,0.0853843050231995
dataset4,0.1581076875194522,0.0080402782693456,0.0592430474321723,0.0125135864660749,0.0106886126537603,0.0416797900262467,0.0855452423600933,0.0766577833516225
dataset5,0.1642134314627414,0.0074902510907195,0.0729765190245668,0.0132113303480882,0.0111352739277386,0.0659619285379934,0.0928618050198777,0.0865240641711229
dataset6,0.1909736732135395,0.0092478997614851,0.0747134827359661,0.0165435235890193,0.0140904342304895,0.0624273567015354,0.1054732989519214,0.0996581646068893
dataset7,0.1987994350282486,0.0097144175832575,0.0798228929562533,0.0167435627452857,0.0144862614378223,0.0578633923976178,0.1014228987425546,0.0951503066330561
dataset8,0.2619047619047619,0.0102952306449663,0.0988120083480494,0.0153646389185343,0.0140215915702372,0.0691450219399852,0.1031332671957672,0.1012930160917676
dataset9,0.2442396313364055,0.0103454578101553,0.0684421174516072,0.0144511222029812,0.0129621540290973,0.0638466746037304,0.094026709246625,0.0891839311921908
dataset10,0.1589627959413754,0.0056735943354834,0.049369945457965,0.0089827372168739,0.0089848495266909,0.0395463583474482,0.0649731314118221,0.0615093446889046
dataset11,0.144216691068814,0.0077996706805712,0.0973511742217367,0.0141536479810237,0.0120805200830026,0.0616018084934603,0.1122026093630084,0.1003236245954692
dataset12,0.1751789976133651,0.0082987643766624,0.0745804338927548,0.0150532573864776,0.0126374979242895,0.0700828937452901,0.1170779584969153,0.1078678678678678
dataset13,0.1680926019124308,0.0080971784565792,0.090396834911881,0.0158587222972634,0.013257191166293,0.0470187290768163,0.1073170731707317,0.0992298170815568
dataset14,0.2364156339370829,0.0095939614225824,0.127429179154984,0.0183114471415307,0.0155275739749267,0.0732193004850651,0.1479439467034229,0.1360247123988069
dataset15,0.2204665161775771,0.0097806469975613,0.1129293822792274,0.0156129317003199,0.0142158480020183,0.0891879562043795,0.1311391103111339,0.1201183918441174
dataset16,0.2608695652173913,0.0101167006148038,0.1258605643362746,0.0173265216450358,0.0150813033005301,0.0680087051142546,0.1313284730660186,0.1273866923818707
dataset17,0.2466981132075471,0.0120042024596749,0.0816861008916879,0.0168474383154774,0.0151250669470176,0.0727200589468911,0.1299765807962529,0.1148470335255595
dataset18,0.2303370786516854,0.0073872167234012,0.0875443410748945,0.01151305030418,0.0100920914003949,0.0806105559982835,0.1240825912515901,0.1122448979591836
dataset19,0.0519125683060109,0.0045973029156228,0.0576046415250725,0.0105306415986027,0.0087318591583457,0.0665399239543726,0.075107296137339,0.0757906215921483
dataset20,0.1667237247517973,0.0072568357973025,0.0841534888864315,0.0103648278629097,0.0094325620758583,0.0597897986182566,0.0951907543183795,0.0814253555152912
dataset21,0.1497076023391813,0.0076415504837065,0.0615374268612549,0.0127705791318393,0.0112353777381951,0.0512791551363867,0.0892507798868503,0.0817935452081793
dataset22,0.1282820705176294,0.0069258929454833,0.0755530639527362,0.011933302597203,0.0103254502492007,0.0560317257259818,0.0880888151068686,0.0876679123320876
dataset23,0.1280569141840818,0.0056171038066398,0.0630850468037443,0.0091585043746216,0.0080402488195344,0.0449996853168859,0.0802476346221235,0.0770680860501219
dataset24,0.135203013813311,0.0067275855108355,0.0752227171492204,0.0093277521162944,0.0080519243879375,0.0488745980707395,0.0830286218635733,0.077642878294344
dataset25,0.1407103825136612,0.005764742236862,0.0561296383278534,0.0084623252642345,0.0075843056056393,0.0419494316066775,0.0775184638109305,0.071416763101339
dataset26,0.2080772607550483,0.0079799664263412,0.0860527492177022,0.0126976732695979,0.0113097668803153,0.05550685507907,0.1159614777391853,0.1070654832622824
