,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.0509666080843585,0.7493209777919796,0.2161687170474516,0.4503914363316824,0.4548649944080524,0.2602652180859562,0.2147307876657613,0.2377376577728071
dataset2,0.0746212121212121,0.6912878787878788,0.2395833333333333,0.4172348484848485,0.4314393939393939,0.2528409090909091,0.2335227272727272,0.234280303030303
dataset3,0.0646766169154228,0.7720222417325139,0.250804799531753,0.485513608428446,0.4982440737489025,0.2622183201638864,0.2301726660813579,0.2477319285923324
dataset4,0.0696653867251782,0.760148107515085,0.2153044432254525,0.4278661546900713,0.451865057597367,0.2177729018102029,0.2161272627537027,0.2011793746571585
dataset5,0.0582096853089841,0.7591716941138106,0.2630034240991358,0.4651883254524702,0.4850807109082015,0.2757215066036197,0.2551769117886842,0.2638186857981412
dataset6,0.0594510212046311,0.7727331858982698,0.2662937426824509,0.4861454403538441,0.496552621308703,0.2655132041108364,0.2474307272017692,0.246520098868219
dataset7,0.0676926776481904,0.7946374894793796,0.307803294457136,0.5257905494769749,0.5287964410244078,0.2838763977395696,0.2948178429722256,0.3040759889383191
dataset8,0.0956184658757194,0.7606014331023141,0.289204745683073,0.5073417126747327,0.5095735933278516,0.2980148008927523,0.2930811699753318,0.2935510395865147
dataset9,0.0828423710472526,0.7758807262233979,0.3269207646988096,0.5117229770349886,0.513766983287243,0.3288445352891667,0.3115305999759529,0.3141757845376939
dataset10,0.1025454545454545,0.8181818181818182,0.3818181818181818,0.5578181818181818,0.5701818181818182,0.3905454545454545,0.3869090909090909,0.3781818181818182
dataset11,0.042004264392324,0.7484008528784648,0.1520255863539445,0.3842217484008529,0.4108742004264392,0.1626865671641791,0.155863539445629,0.1454157782515991
dataset12,0.0757794755316952,0.7736939913276895,0.1881065455296303,0.4491017964071856,0.4557092711129465,0.1920297336361759,0.1724137931034483,0.185422258930415
dataset13,0.0445868375383793,0.7021759444666934,0.2013082365505273,0.4231744760379121,0.4270457882792685,0.2081164063542918,0.1879588839941262,0.1926311573888666
dataset14,0.0863209189001044,0.7786286112077967,0.2293769578837452,0.4805081796032022,0.4906021580229725,0.2495649147232857,0.2241559345631743,0.2222415593456317
dataset15,0.1022509160704938,0.7914849066480545,0.2673180945733729,0.4938056185656953,0.5112545803524691,0.2729017623451404,0.2669691153376374,0.2549293317047635
dataset16,0.0981595092024539,0.7380708929788684,0.2211997273346966,0.4502385821404226,0.4619972733469666,0.2343217450579413,0.221029311520109,0.2251192910702113
dataset17,0.0844774672912292,0.7843643999353901,0.2115974802132127,0.4920045226942335,0.4926506218704571,0.2072363107737037,0.1972217735422387,0.1897916330156679
dataset18,0.1206896551724138,0.7510513036164844,0.2750210260723297,0.48107653490328,0.4974768713204373,0.2764928511354079,0.2666105971404541,0.2636669470142977
dataset19,0.0469135802469135,0.8518518518518519,0.3432098765432099,0.5061728395061729,0.5333333333333333,0.345679012345679,0.345679012345679,0.3432098765432099
dataset20,0.0779574195613894,0.7525212101808868,0.2436369457339523,0.4714262846166159,0.4781495117656475,0.2604450136065311,0.2452377141027693,0.2373939490955658
dataset21,0.059213569776407,0.7907478797224364,0.28218966846569,0.494988434849653,0.5057825751734772,0.2800308404009252,0.2602929838087895,0.2559753276792598
dataset22,0.0541310541310541,0.7534029756251979,0.2773029439696106,0.4916112693890471,0.4938271604938271,0.2773029439696106,0.268755935422602,0.2747704969927192
dataset23,0.0497581202487906,0.7425708362128541,0.2724602626123013,0.4600898410504492,0.4671734623358673,0.2470628887353144,0.2373876986869385,0.2401520387007601
dataset24,0.0530377668308702,0.7333333333333333,0.2218390804597701,0.4101806239737274,0.4208538587848933,0.2121510673234811,0.216256157635468,0.2152709359605911
dataset25,0.0516981763426468,0.7334783336121801,0.2399196921532541,0.4152584908817132,0.4363393006525012,0.2451062405889242,0.2195081144386816,0.2168311862138196
dataset26,0.0617107147506835,0.7513344616586382,0.2004947272490561,0.4684285900273401,0.4975914594453847,0.20609295664627,0.1912511391745866,0.1994531961984116
