Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.03384489092473593,0.0962979956389855,0.03503224249696525,0.033963368454317806,0.04116131959836339,0.025972390249948914,0.0466232262078346,0.04020608898655439
0.05083005388503375,0.17046949852093982,0.05449438594982971,0.06428891363077273,0.07592276800844418,0.0405380628955109,0.07229745403978718,0.06329835680509628
0.1569767441860465,0.0068618298212856765,0.07257876312718786,0.0097923751802988,0.008600809551199006,0.04262912016610433,0.09237726098191215,0.08192494987109711
0.0607044716462653,0.7711716212840369,0.15538346240319761,0.36972270796902323,0.39970022483137646,0.16412690482138395,0.1428928303772171,0.1428928303772171
0.08755179246982527,0.013602624464895137,0.09894217768233517,0.019079418077748628,0.01683926917571777,0.06767962915271697,0.1122118685630211,0.10414201183431954
0.18,0.04,0.1,0.1,0.1,0.12,0.26,0.18
0.19,0.04,0.16,0.1,0.15,0.09,0.25,0.16
0.155,0.04,0.14,0.11,0.125,0.08,0.22,0.15
0.132,0.048,0.112,0.114,0.12,0.11,0.214,0.196
0.143,0.056,0.121,0.148,0.12,0.124,0.193,0.18
0.137,0.064,0.114,0.1285,0.1415,0.098,0.1535,0.131
