,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.0875517924698252,0.0136026244648951,0.0989421776823351,0.0190794180777486,0.0168392691757177,0.0676796291527169,0.1122118685630211,0.1041420118343195
dataset2,0.1583885209713024,0.0146308295991676,0.1403732652735683,0.022487923061424,0.0197828568084047,0.1297694348092226,0.1714706079047682,0.1619561765639885
dataset3,0.0512474713418745,0.0130882618684978,0.1087642972422987,0.0195552832452579,0.0171519829651317,0.0975351179432812,0.116156282998944,0.1104598365392553
dataset4,0.0977986892959166,0.0119552617563206,0.1031307550644567,0.0194804403213419,0.0161890869028552,0.0660547156227501,0.1239713774597495,0.1155961750021156
dataset5,0.0747237326784774,0.0113182461920864,0.1009731565541114,0.0197738562450256,0.0162036263136192,0.0800854244527496,0.1300227445034116,0.1246173239690257
dataset6,0.0883442576232544,0.0165081874938233,0.1455786958006145,0.0310659610518537,0.0260826528087107,0.131547188027999,0.1635670375846237,0.1576725957190232
dataset7,0.1258572975574539,0.0236465099971756,0.1450203339967119,0.0325792823145622,0.0293490759852388,0.1093770723727839,0.1559745190142204,0.1411925127060865
dataset8,0.0980194696206781,0.0148437266268839,0.1394648236753499,0.0241718706182499,0.0193441005372758,0.0876685934489402,0.1463278931750742,0.1348551360842844
dataset9,0.0922290938424307,0.0191934144492183,0.1296225695768204,0.0312457816773826,0.0268759195684158,0.1134786020402003,0.1441487114490917,0.1356319960781109
dataset10,0.1167074584567821,0.015485177467718,0.1285841722951446,0.0216171167231702,0.0208730802521446,0.086804172971251,0.1533919055163474,0.1414393781664237
dataset11,0.1264660887302396,0.0189547758705787,0.156030060837409,0.0352784840857109,0.0301024058432197,0.1094451571520205,0.1798384264137689,0.1708022325331181
dataset12,0.0769885879747913,0.0125446712684192,0.1147565769579679,0.0232108887676404,0.020428897338403,0.0906485130777499,0.1347296914803283,0.13324896040499
dataset13,0.1383838383838384,0.0129554226697181,0.1421879305593827,0.0198204936424831,0.0186764504122538,0.1019986216402481,0.1584093872229465,0.153941651148355
dataset14,0.1067929457870672,0.0136092227645976,0.1289890649408614,0.0198607961036283,0.0179816347032424,0.1025280898876404,0.1453293155402496,0.1376695593563063
dataset15,0.1125018406714769,0.0170664889678661,0.1144805311322447,0.0243480203272463,0.0222752325556063,0.1135046008191053,0.1466185614492976,0.1482675261885576
dataset16,0.1246144355336212,0.0142808321275095,0.1240783495941014,0.0232731882909601,0.0196589207678543,0.0349966311283738,0.1461056401074306,0.1370335258122899
dataset17,0.1426448736998514,0.0199599050625619,0.1615370495013155,0.0333682761407984,0.0292091128984468,0.1056329871433535,0.1639807383627608,0.1585547554010429
dataset18,0.0650594451783355,0.0154385131524256,0.0940925891123222,0.0273040645478995,0.0234709475466343,0.0876623376623376,0.1283827468366122,0.1194906953966699
dataset19,0.067880166856276,0.0116988901001879,0.1174776849985603,0.0161895240076938,0.0143849206349206,0.0783509605007554,0.1238677059195281,0.1258524488530688
dataset20,0.072950523654749,0.0109611872777096,0.100514832066683,0.0178096737578265,0.015360406705804,0.0682110069923417,0.1136478944698122,0.1127251597908193
dataset21,0.1054592348473993,0.0158734264356815,0.1456275683079806,0.0238244195213753,0.0206631215664178,0.108433110454569,0.1517864476386037,0.1477551666798638
dataset22,0.0492866407263294,0.009145250434068,0.0990799716914366,0.0206320450885668,0.017182403945589,0.1058201058201058,0.1234135667396061,0.120922140060896
dataset23,0.1397067588508761,0.0193223133102879,0.1434465249127261,0.0302704552869008,0.0276625172890733,0.1437411598302687,0.1792572151316546,0.1700748687004134
dataset24,0.0732205909682215,0.0125603062824941,0.0942579968536969,0.0184181887006719,0.0157084825805935,0.0731118100186881,0.1280948284102858,0.1245497630331753
dataset25,0.1060060492582457,0.016421390318085,0.1069843494510628,0.0291301145114846,0.0245929953978671,0.0969834242767425,0.137925365773467,0.1401869158878504
dataset26,0.0631337287162808,0.0106491481253419,0.0996221759580538,0.015230698811422,0.0130545231133904,0.0710890888866417,0.1165162808944684,0.1105400950256957
