,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.0338448909247359,0.0962979956389855,0.0350322424969652,0.0339633684543178,0.0411613195983633,0.0259723902499489,0.0466232262078346,0.0402060889865543
dataset2,0.0674703941670994,0.1305396142752727,0.0758059405279014,0.071264268913591,0.0702266099839879,0.0707098340132548,0.0842475351543925,0.0870024227170246
dataset3,0.0234975387631203,0.0993630982996096,0.0326696704760958,0.0228328540521462,0.0287229846384804,0.028222252643516,0.031764317477768,0.0309152352428746
dataset4,0.0396519200435813,0.1346175469415608,0.0477443771241945,0.0380368093962548,0.0537713131037733,0.03234814968981,0.0513975690026182,0.0505189813851944
dataset5,0.0319546822347304,0.108905813521964,0.0395062671772496,0.0326558269024652,0.0317958174292093,0.0280141072379651,0.0461243093781155,0.041361960790498
dataset6,0.0510164808421965,0.1537606670889934,0.0575761549438205,0.0454796862690903,0.0464018034955893,0.0551865360541565,0.0661203318407505,0.0650790813956427
dataset7,0.0661894558325045,0.1393374550460098,0.0698811872544466,0.0554481384236009,0.0659840294902398,0.0624644385444833,0.088077249121356,0.0891999729912609
dataset8,0.0428927160934457,0.1183647324962566,0.0558875241308962,0.0347019904525837,0.0457620412261018,0.0378607987314715,0.060973750977467,0.0548328288998255
dataset9,0.043177141347775,0.1127240651405993,0.05447767318606,0.0460601272711636,0.0499433117486632,0.0457390863931703,0.0554771783587645,0.0590950228368223
dataset10,0.0435231841430329,0.1049114379042242,0.0494153772886628,0.0449365248524884,0.0433837107697323,0.0372412051398469,0.0625016131607795,0.0601635498387805
dataset11,0.0724896282603722,0.1100668433047707,0.0794847997157847,0.0907164928190938,0.0820615650604194,0.0576834790860412,0.0918269926708283,0.0878865740710895
dataset12,0.0341955286004577,0.1197628843011821,0.0456601666418073,0.0307786626924327,0.0366247873612983,0.0393241749312825,0.0565338350207072,0.0533215453188784
dataset13,0.0626074508104196,0.1343815302176242,0.0618627654458381,0.0506005964810707,0.057018047014537,0.0512516100901193,0.0772122243233015,0.0735444113837675
dataset14,0.0486563531293488,0.1200946410291301,0.0609100406833015,0.0462600531086521,0.0444227374615631,0.0446424362309027,0.0622283735049079,0.0598917051829564
dataset15,0.055912077114288,0.1109037988485323,0.0586301718685066,0.0502191705799731,0.0497658123073896,0.0603181077281163,0.0738845274893482,0.0713858502646448
dataset16,0.0407530767361397,0.1157826736111502,0.0623932190092593,0.0418370459611744,0.0517628981994182,0.0354213164980388,0.0662764362319732,0.0614355545969033
dataset17,0.0796652232194391,0.1233912122208167,0.0776561002913583,0.090768772071964,0.0830886208455789,0.0631415242421735,0.0879841288923504,0.1030834751551209
dataset18,0.0358686357114829,0.1124585312870965,0.0333351829339916,0.0377669874629092,0.0412424415885759,0.0299409654043993,0.0488012173405713,0.0474377846179362
dataset19,0.0319707618422271,0.1116647961227791,0.0413084343994721,0.0321829944122584,0.0348324619398237,0.0283847473322254,0.0486980304370749,0.0469630010119924
dataset20,0.0242854994381867,0.1146910744786905,0.0359789535540988,0.0222579671867132,0.0270051137865823,0.0241991920086157,0.0396582524208698,0.0373354772272123
dataset21,0.050224801504698,0.1096591942386001,0.0626609492497058,0.0519444761379756,0.052166506445066,0.0412008012342219,0.0646645371094828,0.0594531247078951
dataset22,0.0363647361223396,0.055922003530499,0.033145055027729,0.0701618276060602,0.0454953874422437,0.0442520055933426,0.0474624029975146,0.044285535431818
dataset23,0.0718877362373797,0.1111563142496251,0.0650953636354887,0.0679726387606676,0.0709792621250323,0.063570856293312,0.0851263767239283,0.0761461792038843
dataset24,0.0308214661981062,0.1175367143790863,0.0366764446861806,0.0331196681638703,0.0367706855682381,0.0256111533756292,0.0450781568631968,0.043529782330431
dataset25,0.0463932967085089,0.1114722961549524,0.0402313425484037,0.0509687026964326,0.0515376588356793,0.0431501326044504,0.0623278430113116,0.0656388784698564
dataset26,0.0255333987767433,0.1193101931137019,0.0361563840002682,0.0281211167468699,0.0290286779924173,0.0250606092456784,0.0425050616731451,0.0375450408128745
