,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.0508300538850337,0.1704694985209398,0.0544943859498297,0.0642889136307727,0.0759227680084441,0.0405380628955109,0.0722974540397871,0.0632983568050962
dataset2,0.1068729600060614,0.2289524002289748,0.1283338714373005,0.129656313532174,0.1266584152796282,0.1072103605578138,0.1328652121683194,0.1330876796265557
dataset3,0.0423583494844105,0.1845144840722372,0.0521438748636126,0.0442564035272074,0.0635215218946631,0.0436105944909552,0.0497757928575246,0.0507863608110868
dataset4,0.0670753175692709,0.2183952733805544,0.0720813175272286,0.0632385341287613,0.1025960231121625,0.0521786173856226,0.0782703186892258,0.0791933707597532
dataset5,0.0571933823596145,0.2071036446679412,0.0663241480008418,0.0681226516863223,0.0679067703468151,0.0486725755124506,0.078841610671957,0.0730190938260764
dataset6,0.0716059702078958,0.2576283042898824,0.0786827386106985,0.0692679874656699,0.0790253574208064,0.0781362986757747,0.0874508287951523,0.087294944467652
dataset7,0.1065665799549365,0.2401165889660557,0.1143056248988461,0.1133954625281727,0.1268144276458586,0.1037946166948306,0.1381560545196752,0.149581591695303
dataset8,0.0746255337718309,0.2166824027302996,0.088973089763682,0.0704341063821119,0.0908556040285595,0.0604093466586421,0.0988339328897373,0.0908273311354899
dataset9,0.0836492076308544,0.2106378739072899,0.0939916080569298,0.0909627753290762,0.0986035533489526,0.0808354599841209,0.0875737906961571,0.1044924530729483
dataset10,0.0724183067512182,0.1972504782613645,0.0759800528739746,0.0821578608108138,0.0829263321023603,0.0641536155278494,0.0997436687136837,0.0998045837888638
dataset11,0.0884273513792959,0.1766059558932003,0.1058289803453803,0.1208721024189766,0.1089868122208429,0.0760185726207954,0.1183318407612597,0.1168221296476954
dataset12,0.0517523160947533,0.195848956071965,0.0617273656471106,0.0616845227627672,0.0709380191520365,0.0627139775797356,0.0815569990810725,0.0722014620343674
dataset13,0.0865921255966677,0.2394319226485134,0.0819332760961432,0.085457621391045,0.0856862207403761,0.0772639683350924,0.1073780555748353,0.1070830061398091
dataset14,0.0798775745028728,0.1950629391110147,0.0940668562722988,0.0869987487966461,0.0813907001198532,0.0691193989939686,0.0937073384324424,0.0919895840047712
dataset15,0.0783617619504566,0.1984395113044378,0.0865035398330926,0.0804081798846041,0.0808477976147423,0.0916487560177345,0.1040818913602707,0.1004785043651634
dataset16,0.0562373573215457,0.19555359274251,0.0839129627400136,0.0702982040216035,0.0885787834665488,0.0554714715858902,0.0919795488771349,0.0804250972510352
dataset17,0.1039493850208007,0.2069612005190051,0.1075655109794436,0.1140420818128961,0.1118436254529498,0.0838569829795346,0.1292556578015603,0.1283447290675296
dataset18,0.0615509000290953,0.2170651391107594,0.053054342364141,0.0722072233218156,0.0821353254624393,0.0443326986679652,0.0789339091439899,0.0790823510160279
dataset19,0.0584717756544344,0.197143590440913,0.0698355651296227,0.064987642043911,0.0713632130258054,0.0460678479056479,0.0854388882734744,0.0798365282398307
dataset20,0.0428586231710962,0.2210256463667951,0.0569645038629135,0.0474497467807774,0.0651623485617235,0.0383901724429641,0.0629488443551537,0.059269944741047
dataset21,0.071142537912877,0.197207808797666,0.0888638128943864,0.0810163215535915,0.085503524068862,0.0593250977107617,0.0918010295761703,0.085838530565096
dataset22,0.0529409162692408,0.0760741105998198,0.0426215295402577,0.1143627155703861,0.0670188684821389,0.058288454900533,0.064567647331615,0.0608315796781584
dataset23,0.1213825575860462,0.2079932094832737,0.107265688356943,0.1251942166448761,0.130291087125072,0.1038957478005477,0.1363189950267214,0.1201640304262081
dataset24,0.0455109268195772,0.2048263444466679,0.056304598296299,0.0627827277357784,0.0696638440311869,0.0410331477076732,0.0663012922687763,0.0622104001825981
dataset25,0.0649354077627796,0.2062228174372496,0.0555894864576394,0.0827295870429862,0.0888698537142234,0.0583501933149488,0.0833745959607056,0.0862131812875673
dataset26,0.0425520276058071,0.2118830471245774,0.0577462751834623,0.0434399153064436,0.0558317826958497,0.0387878920183806,0.0646882203263388,0.0567687515255564
