,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.19,0.04,0.16,0.1,0.15,0.09,0.25,0.16
dataset2,0.28,0.03,0.16,0.11,0.19,0.17,0.28,0.24
dataset3,0.14,0.03,0.19,0.04,0.08,0.13,0.12,0.1
dataset4,0.31,0.07,0.21,0.19,0.16,0.21,0.24,0.28
dataset5,0.2,0.05,0.15,0.16,0.15,0.05,0.23,0.19
dataset6,0.32,0.13,0.24,0.11,0.14,0.26,0.26,0.28
dataset7,0.59,0.08,0.29,0.14,0.21,0.25,0.33,0.49
dataset8,0.29,0.08,0.24,0.2,0.23,0.2,0.36,0.29
dataset9,0.2,0.08,0.19,0.07,0.21,0.29,0.18,0.29
dataset10,0.19,0.07,0.22,0.15,0.05,0.16,0.29,0.22
dataset11,0.32,0.1,0.45,0.32,0.24,0.29,0.35,0.42
dataset12,0.27,0.1,0.18,0.11,0.15,0.24,0.23,0.12
dataset13,0.21,0.11,0.23,0.1,0.22,0.15,0.17,0.26
dataset14,0.34,0.06,0.25,0.21,0.11,0.26,0.25,0.29
dataset15,0.51,0.1,0.38,0.26,0.1,0.34,0.42,0.43
dataset16,0.21,0.05,0.18,0.18,0.12,0.22,0.26,0.31
dataset17,0.3,0.08,0.32,0.21,0.27,0.21,0.28,0.52
dataset18,0.2,0.07,0.12,0.16,0.14,0.04,0.2,0.19
dataset19,0.24,0.08,0.23,0.08,0.19,0.17,0.25,0.26
dataset20,0.14,0.06,0.23,0.05,0.12,0.11,0.19,0.18
dataset21,0.29,0.1,0.21,0.14,0.09,0.09,0.3,0.14
dataset22,0.11,0.02,0.1,0.09,0.02,0.13,0.13,0.13
dataset23,0.52,0.07,0.28,0.11,0.19,0.17,0.39,0.23
dataset24,0.13,0.04,0.26,0.13,0.15,0.13,0.15,0.13
dataset25,0.3,0.11,0.22,0.23,0.22,0.11,0.29,0.36
dataset26,0.16,0.06,0.14,0.1,0.09,0.12,0.2,0.17
