,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1569767441860465,0.0068618298212856,0.0725787631271878,0.0097923751802988,0.008600809551199,0.0426291201661043,0.0923772609819121,0.0819249498710971
dataset2,0.2303370786516854,0.0073873695008355,0.0939434915664365,0.01151305030418,0.0100920914003949,0.0856681034482758,0.1257232519368441,0.116025116025116
dataset3,0.0793319415448851,0.0066011613877628,0.0757205666829506,0.0100348468572326,0.0087633408401057,0.0664499819429396,0.0898203592814371,0.0826231937754723
dataset4,0.1333027943197434,0.0060250475246149,0.0677852909257867,0.0099691816287571,0.0082531592906547,0.0397702644126571,0.093497031840259,0.0848552615231705
dataset5,0.1292475728155339,0.0057036657267367,0.0686622845976194,0.0101697307597304,0.0082890093664665,0.0511003611092185,0.1055547007231881,0.0981142776123635
dataset6,0.1788805539526832,0.0083488888067955,0.1138888888888888,0.0161708939450453,0.0134821400019187,0.0965712766899973,0.1389109172614327,0.1310284354252787
dataset7,0.2466981132075471,0.0120042024596749,0.0990368138036991,0.0168474383154774,0.0151250669470176,0.0752982712442171,0.1296256684491978,0.1145529518254048
dataset8,0.1881443298969072,0.0074978901285917,0.1143895348837209,0.012461476617982,0.0099087440222613,0.0556438791732909,0.1237064910630291,0.1099656357388316
dataset9,0.1910863509749303,0.009728851278147,0.1137580299785867,0.0162753863461424,0.0139194930053277,0.0860490662760893,0.1377583979328165,0.1258338386901152
dataset10,0.1804780876494024,0.0078229149591276,0.0966382530408964,0.0111087611695659,0.0106910414364897,0.054881425910075,0.1233638364415614,0.1112931411096548
dataset11,0.2364156339370829,0.0095941671580978,0.1186932849364791,0.0183114471415307,0.0155275739749267,0.0711011563704552,0.1507833667098598,0.1391780821917808
dataset12,0.137386018237082,0.0063268740921192,0.0843145967562763,0.0119786910197869,0.0104839867873043,0.0606230031948881,0.1120351482818139,0.1078115857226448
dataset13,0.271645736946464,0.0065324541945533,0.1198142414860681,0.0101370387027071,0.0095248413278802,0.0705739552627015,0.1526062382248273,0.1420118343195266
dataset14,0.1673490276356192,0.0068672674237589,0.0934972500808799,0.0101666486002316,0.0091841523094455,0.0661692929856365,0.1133646742780389,0.1061176776204702
dataset15,0.2031914893617021,0.0086313222446118,0.0810467479674796,0.0125566392750172,0.011443696453853,0.0768178545716342,0.1176688023656973,0.1157894736842105
dataset16,0.1657775954041854,0.0072111501123529,0.0888059701492537,0.0120031759376021,0.0100776886836604,0.0190240224065496,0.1145584725536992,0.105214399152991
dataset17,0.2608695652173913,0.0101167478778421,0.1260143198090692,0.0173261807641357,0.0150813033005301,0.0682873259122447,0.1315545482641393,0.12470703125
dataset18,0.144216691068814,0.0077997053444647,0.0666193559833229,0.0141549821295314,0.0120805200830026,0.0594352512524669,0.113247515072511,0.1025837027977373
dataset19,0.1490424646128226,0.0058973163694231,0.0964387015442798,0.0082656191700178,0.0073245865261885,0.0502109412822463,0.1084670724958494,0.1086529884032114
dataset20,0.1197391819798458,0.005525832947511,0.0733365132363463,0.0091632505425608,0.007863476660532,0.0417540181691125,0.0932711525649566,0.0898841698841698
dataset21,0.2177514792899408,0.0080211215494498,0.1176881845723607,0.0122415271069853,0.0105778374699723,0.0746929448728934,0.134185303514377,0.1271117166212534
dataset22,0.0519125683060109,0.0045973029156228,0.0578273440726972,0.0105306415986027,0.0087318591583457,0.0624721106648817,0.075,0.073389651531151
dataset23,0.2204665161775771,0.0097805415522081,0.0969006492711013,0.0156137931034482,0.0142158480020183,0.0962528858106908,0.1336705821829718,0.1250924632201857
dataset24,0.1346548188653452,0.0063329577767047,0.0634150643852531,0.0094275645760926,0.008011266800698,0.0445036346484656,0.102399510927709,0.099065138721351
dataset25,0.1752380952380952,0.0082987643766624,0.0745867600358277,0.0150532573864776,0.0126374979242895,0.06459576218885,0.1145705312030588,0.1137093665681613
dataset26,0.1120162932790224,0.0053629547134669,0.0701030927835051,0.0077619133065032,0.0066358058871735,0.043871692461308,0.0922073890096243,0.0869034913858819
