,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.0607044716462653,0.7711716212840369,0.1553834624031976,0.3697227079690232,0.3997002248313764,0.1641269048213839,0.1428928303772171,0.1428928303772171
dataset2,0.1206896551724138,0.7510513036164844,0.2775441547518923,0.48107653490328,0.4974768713204373,0.2674516400336417,0.2695542472666106,0.2680824222035324
dataset3,0.0378486055776892,0.7574701195219123,0.1929780876494023,0.3814741035856573,0.4011454183266932,0.1832669322709163,0.1643426294820717,0.1665836653386454
dataset4,0.0772292993630573,0.7595541401273885,0.2154989384288747,0.4240976645435244,0.4211783439490446,0.1947983014861996,0.1839171974522293,0.1812632696390658
dataset5,0.0525536639526276,0.7246484085862325,0.1907229212928694,0.3555391068344436,0.3587466074512707,0.1850481125092524,0.1692573402417962,0.1707377251418702
dataset6,0.0586565752128666,0.7269631031220435,0.2017029328287606,0.393755912961211,0.3988647114474929,0.206244087038789,0.1988647114474929,0.197918637653737
dataset7,0.0844774672912292,0.7843643999353901,0.2707155548376675,0.4920045226942335,0.4926506218704571,0.1998061702471329,0.1957680503957357,0.1839767404296559
dataset8,0.0662732637312755,0.7319564230594644,0.1786200635497049,0.4010440308669995,0.4049024058102587,0.2065365410803449,0.1790739900136178,0.1743077621425329
dataset9,0.0607832713095871,0.7065390749601276,0.150629097997519,0.3896863370547581,0.3884458621300726,0.1665780613149034,0.1511607301080985,0.1470848839269891
dataset10,0.0862364363221016,0.7540453074433657,0.1920807157814582,0.3999619265181801,0.4384161431562916,0.2075004759185227,0.2027412906910337,0.1939843898724538
dataset11,0.0863209189001044,0.7786286112077967,0.2276366167768882,0.4805081796032022,0.4906021580229725,0.2375565610859728,0.2227636616776888,0.2210233205708318
dataset12,0.0534784666351159,0.7276384287742547,0.1796024609559867,0.3724562233790818,0.3973024136299101,0.1796024609559867,0.1689540937056318,0.1743965925224798
dataset13,0.0928393946238988,0.7729839620510504,0.1748362322114298,0.4429636322566072,0.476620736390332,0.1838716964084029,0.1646713349898351,0.1680596340637
dataset14,0.0784172661870503,0.7458033573141487,0.2079136690647482,0.4273381294964029,0.4270983213429256,0.2275779376498801,0.2023980815347721,0.1959232613908872
dataset15,0.0777845652616575,0.7509672164528609,0.1948686621869273,0.3995113011606597,0.4164121360211769,0.2172673589900224,0.1944614131541437,0.2060680105884748
dataset16,0.0998270323696565,0.7279466271312083,0.2058314801087225,0.3810229799851742,0.3990610328638497,0.2181863108475414,0.2016308376575241,0.1964418087472201
dataset17,0.0981595092024539,0.7380708929788684,0.2249488752556237,0.4502385821404226,0.4619972733469666,0.2331288343558282,0.2176209952283571,0.2176209952283571
dataset18,0.042004264392324,0.7484008528784648,0.1601279317697228,0.3842217484008529,0.4108742004264392,0.1669509594882729,0.1481876332622601,0.1430703624733475
dataset19,0.0439479499140682,0.7205990670267616,0.1502577952369261,0.391603240854407,0.3987232997790326,0.1782469923889025,0.1443653326786152,0.1495212374171372
dataset20,0.0524539080758244,0.6694365099974032,0.1596987795377824,0.315762139703973,0.3295247987535705,0.1861854063879511,0.1454167748636717,0.151129576733316
dataset21,0.0695783702023066,0.7542068443940253,0.1909623747400264,0.4428058234070712,0.4437511816978635,0.1977689544337303,0.1747022121384004,0.1764038570618264
dataset22,0.0469135802469135,0.8518518518518519,0.345679012345679,0.5061728395061729,0.5333333333333333,0.345679012345679,0.3481481481481481,0.3432098765432099
dataset23,0.1022509160704938,0.7914849066480545,0.2760425754667597,0.4938056185656953,0.5112545803524691,0.2837201186529401,0.2720293142558018,0.2655731983946955
dataset24,0.0502807554874936,0.753190403266973,0.1835119959162838,0.39739663093415,0.4007146503318019,0.2046962736089841,0.1710056151097498,0.167687595712098
dataset25,0.0759859591162502,0.7736939913276895,0.1891389634524055,0.4491017964071856,0.4557092711129465,0.1945075366508362,0.1732397274416683,0.1827379723311996
dataset26,0.043953116675546,0.7440063931806074,0.1720831113478955,0.4033031433137986,0.3990410229088972,0.1872669152903569,0.1582312200319659,0.1518380394246137
