Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.1075375105516099,0.06616124865583317,0.0847640753382494,0.07813925466225172,0.06624813429535176,0.10390107734785167,0.09598556162096186,0.056752900389679256
0.09211379949708692,0.06466514626604966,0.07866401653643339,0.07646682502380542,0.06489838486782487,0.08871490027920662,0.06754939901369456,0.04519214627764811
0.4,0.011741359351744666,0.09049773755656108,0.022747156605424323,0.11602209944751381,0.022410660205935795,0.2835820895522388,0.08363636363636363
0.1,0.5071428571428571,0.14285714285714285,0.18571428571428572,0.15,0.2642857142857143,0.1357142857142857,0.16428571428571428
0.16000000000000003,0.0229513496040084,0.11080332409972299,0.04053000779423227,0.1308411214953271,0.04131769960915689,0.1835748792270531,0.1108433734939759
0.3,0.18,0.28,0.28,0.3,0.32,0.38,0.3
0.16,0.18,0.19,0.16,0.18,0.22,0.2,0.18
0.11,0.1,0.1,0.1,0.105,0.125,0.11,0.1
0.054,0.044,0.044,0.044,0.048,0.052,0.048,0.048
0.032,0.031,0.03,0.026,0.028,0.03,0.025,0.028
0.0185,0.0215,0.0195,0.0185,0.0205,0.0205,0.018,0.02
