,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.4324444444444444,0.1385538851258329,0.5288378411757441,0.4772229522558037,0.5035768734607717,0.5467625899280575,0.570793386133111,0.5705614567526556
dataset2,0.4797498045347928,0.2355796813628139,0.4488009802205497,0.4266994266994267,0.4046948356807512,0.3989436072704675,0.4612049498690271,0.465251844430276
dataset3,0.1830651543128462,0.0997507429776627,0.2063008966027802,0.1467655541821178,0.1721999741635447,0.1863914866172202,0.2032613486117232,0.2075067024128686
dataset4,0.1864003804089395,0.1067931765418391,0.1935106693949137,0.1415168100078186,0.16688567674113,0.1832752096163834,0.1951647650203463,0.1938262742282843
dataset5,0.184090909090909,0.1005385226029307,0.1881758180030894,0.1416357137851286,0.1644151565074135,0.1697273233166388,0.1935882580146774,0.1951944900993973
dataset6,0.1846217105263158,0.1071660215503713,0.1867165575304022,0.1409187510217427,0.1601068037974683,0.1840333871836295,0.1873854301038767,0.1885961895591168
dataset7,0.2196047115192653,0.101279177106686,0.2028315515746893,0.140098161647257,0.1696321070234113,0.1979824987846378,0.2029734156482298,0.2025889154203845
dataset8,0.1862222222222222,0.0891992698992143,0.1665069324643792,0.1140131186642814,0.1367179886961606,0.1557980208069018,0.1661508837081356,0.1662648942764653
dataset9,0.1755307507113153,0.091507078952643,0.1593223565242219,0.1225389194139194,0.1517757372589029,0.1792886025632239,0.1824536875218455,0.1802041101635677
dataset10,0.1856622114216282,0.0834000991949944,0.1713996584656252,0.1088439192792388,0.1423476968796434,0.1644732447057251,0.1718126444024365,0.1734966906069567
dataset11,0.1716006021073758,0.0791303061677266,0.162595270666406,0.1067070507033229,0.137345279403387,0.1591906042167822,0.1685645789631405,0.1704982286877214
dataset12,0.1536517563810968,0.0736715803908124,0.1519203041027657,0.097327483047467,0.1267220527920917,0.1494034501101907,0.1540143705092158,0.1540267668466776
dataset13,0.4056539509536784,0.2141753330827381,0.3873739877706164,0.3599353321575544,0.3494989393606905,0.3750402576489533,0.3973161202649907,0.3981521088202583
dataset14,0.1747663551401869,0.0792858271448886,0.1694718514219384,0.1045423762823246,0.1398905040589012,0.167147766323024,0.169579560609251,0.1699100230173676
dataset15,0.1748099891422367,0.0672531015630475,0.1463180618853442,0.0858122138550449,0.1186383552409841,0.1484582112459885,0.1487556561085972,0.1479356193142057
dataset16,0.1593327581248202,0.0645604856290035,0.1423874195854181,0.0800887683392923,0.1174612129760225,0.148,0.1556448014279339,0.1536535193632054
dataset17,0.1445974576271186,0.0716666410677807,0.1574622356495468,0.0940013567206124,0.1292839818622798,0.1558338617628408,0.1609644835451287,0.1649792531120331
dataset18,0.1465648854961832,0.0706367853485149,0.14865832828255,0.09,0.1231459439663065,0.1430803280822809,0.1528179688576546,0.150951170936062
dataset19,0.1441392439488713,0.062957518523468,0.1353295514357564,0.0781348730798562,0.108416547788873,0.1294109799212861,0.1396596766221846,0.1389638041163945
dataset20,0.1420345489443378,0.0605705843820992,0.1298876404494382,0.0795399031842607,0.1073486688574558,0.1346369132024777,0.1390602391287792,0.1379153735523427
dataset21,0.1260126012601259,0.0551289681099676,0.1270182992465016,0.0672018781310918,0.1013397129186603,0.1304216412271422,0.1366256426234615,0.1335898422470181
dataset22,0.1397533763945977,0.0551579400527363,0.1346354646520483,0.07443351288786,0.1113849703707588,0.1423602685432338,0.1454975103384251,0.1483221476510066
dataset23,0.1328650863330406,0.0550490602358099,0.1220025241901556,0.0705612829324169,0.0981713185755534,0.1255813953488372,0.127840239012501,0.129156010230179
dataset24,0.3238898935101467,0.1844184146009261,0.2921480981698575,0.2657871229299801,0.2646321686569364,0.2828969174676831,0.2956251617913539,0.2973043252145271
dataset25,0.1008025682182985,0.0504637635591888,0.1068265889474274,0.0635579427083333,0.0892557224434953,0.1116078310467088,0.111913912375096,0.1133016441985506
dataset26,0.0892388451443569,0.0471377770647843,0.1014628760695556,0.0588389173961163,0.0814307838337413,0.1045267489711934,0.1041908232565844,0.1062637094808676
dataset27,0.1006087792374239,0.0494555353901996,0.1173871168772307,0.063037363601907,0.1029019607843137,0.1292121013363942,0.1336511449731846,0.1359472647889735
dataset28,0.1394621638524077,0.0497751751542403,0.1219717834860322,0.0647753260399283,0.1026880096647538,0.1342369559892218,0.1349298100743187,0.1328997832249458
dataset29,0.1066336019838809,0.0486711651360502,0.1196133240158397,0.0639630859802303,0.0974886296223057,0.1143372950203099,0.1275069297244415,0.1237531424864163
dataset30,0.125,0.1944444444444444,0.45,0.2417582417582417,0.3272727272727272,0.4324324324324324,0.4210526315789474,0.4444444444444444
dataset31,0.3384486020601219,0.17133552899382,0.3131626162126896,0.2634460939401314,0.2839567277098211,0.314616019818332,0.3231254798259831,0.3246831623415812
dataset32,0.3075291622481442,0.1627052014705347,0.2769971275522087,0.2319369934938933,0.2533221429570569,0.2599645362732249,0.2903562119895742,0.2873839807493984
dataset33,0.2845221537850189,0.149976213130352,0.2852419597234746,0.2362212836097661,0.2541019676871817,0.2632807526349296,0.289601250977326,0.2914366819113704
dataset34,0.2808944684189878,0.1575553686571348,0.2624178619373984,0.2160499580576008,0.2382938162754676,0.2560669456066945,0.2695413795658294,0.2717967874486365
dataset35,0.2421506258978042,0.1338000560067208,0.2345561161870994,0.1832827260458839,0.2020390265292699,0.2355816226783968,0.2387612387612387,0.2361855743798699
dataset36,0.2307876466363418,0.1036972216145263,0.198937640980863,0.1466113416320885,0.173113007687186,0.1967613809960281,0.2021065969747366,0.2049290752040573
