,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.4576728751983439,0.5787763761582018,0.5671641147637383,0.5742006788549764,0.5181785928995467,0.5157772409972673,0.5349323003005746,0.5294970080131196
dataset2,0.4760193699149494,0.57335524522416,0.5477152500463273,0.5595326755077624,0.518186606652583,0.52023987909943,0.5259816387708873,0.5230687824322878
dataset3,0.1455602010814658,0.3069898680499315,0.2382582279540381,0.2422249386355922,0.1819519500513055,0.1764288523298344,0.1949378316562304,0.2028721876189432
dataset4,0.1526554459187878,0.3029113520983243,0.227407168840838,0.2323784432487236,0.1830481011538033,0.1857908140210195,0.1984031110138117,0.2003082576170637
dataset5,0.1480772571093603,0.2944171362059485,0.213376507516818,0.225622694863892,0.1734270726158325,0.1777714714708074,0.1941056961321681,0.1970283350246184
dataset6,0.1448876535063399,0.2779242924407432,0.2217067429533269,0.2159063677492118,0.1758056090027341,0.1792754175412187,0.1889055022420782,0.1959603452740639
dataset7,0.168198897923977,0.3125286089321099,0.2619544016936493,0.2349505027801164,0.199216778535583,0.2253581408249501,0.2300023666669668,0.2290544458915247
dataset8,0.1381696212935082,0.273511029502136,0.1920452656703066,0.1904048969659555,0.1596908031567121,0.1714994533866096,0.1812606288655571,0.1785122485397306
dataset9,0.131631651886078,0.2784252145564702,0.2019771506830187,0.2017155864904784,0.1689105361553569,0.1840248356390709,0.186002403387452,0.1836848888623012
dataset10,0.1349219460514716,0.2836432033781486,0.1972217030673039,0.186705868501877,0.1593773205799882,0.1705235938946324,0.179078040448913,0.1825364583752838
dataset11,0.1256518173443229,0.2655958126174425,0.1922509109040154,0.1837625831900814,0.1448529232520186,0.1538722342412537,0.1638569558356347,0.1616627082732772
dataset12,0.1032039100043029,0.2399159684877098,0.165110116639017,0.1545232973020986,0.1260907081567783,0.1333832544521547,0.1422361634550615,0.1440781467523277
dataset13,0.3960611999441372,0.5222084207040433,0.4856007115809106,0.4926786155162973,0.4431510341584339,0.4474459691173665,0.4551190065037473,0.4539793532874489
dataset14,0.1299458173244445,0.266936051877311,0.1989298016544439,0.1781769371257537,0.1509674204576155,0.1674608517311908,0.1722357694426906,0.1748126686293398
dataset15,0.1230178307592774,0.2538192285186788,0.1896357589931485,0.177589921743467,0.1483454833185466,0.1608927997915377,0.1645834406824659,0.161278078037109
dataset16,0.1040726623455418,0.239113894607752,0.1663553790538629,0.1557320616626465,0.1284412187827622,0.1347470432868383,0.1446072457984785,0.1438159415096636
dataset17,0.1013182351821584,0.2234196294498979,0.1618331837820309,0.1475732456352826,0.1253245916820334,0.138330472400576,0.1402865420395437,0.1445383195777669
dataset18,0.1035629076962119,0.2281926207330216,0.1602514321767991,0.1485339860869788,0.1233762371536931,0.1390516664834398,0.1446089932849835,0.143917861979556
dataset19,0.0973843107786617,0.2146501022079806,0.1544760076438398,0.1422955704114292,0.1164042383692505,0.1289805920520002,0.1373644285572475,0.1322172596437069
dataset20,0.0898154037369297,0.2066625368236013,0.1473966349792969,0.1357489208628012,0.1108337253393273,0.1266216719193394,0.1317893270825409,0.1308632852144369
dataset21,0.0844955354788983,0.2135326844592824,0.1349318704926754,0.1232364774680911,0.1012452334150101,0.1206410380936746,0.1257609877524343,0.1268198539204544
dataset22,0.0977780383203873,0.2112515664175834,0.1468920307681117,0.1338914156035271,0.1163936880745868,0.1327416737878547,0.1381735636335248,0.1365147600627719
dataset23,0.0893710704235409,0.1897141157914191,0.1338586552975336,0.1285833947677847,0.1034009543005449,0.1131928837432992,0.1186853620867295,0.1208670042055869
dataset24,0.2967456268492453,0.4518571823004362,0.3762165869877817,0.398683437595586,0.340425422136285,0.3372187770041294,0.339744979186494,0.3391485486992338
dataset25,0.064239907012075,0.1857216729551404,0.1161714704714493,0.1093092257738728,0.0819946799860245,0.0941868754622569,0.0925773367304903,0.0904065387001397
dataset26,0.0541453353687135,0.1877661146825675,0.1042979964461723,0.1018172972929374,0.0765871166930207,0.0735455820579836,0.0808795549203498,0.0808441493581895
dataset27,0.0626367274420691,0.2045578681785774,0.1257480929582393,0.1053157011179577,0.0867543362350038,0.0990980812329409,0.1047808345751072,0.1085538250331403
dataset28,0.0912387373916677,0.20813830943259,0.1356981656137698,0.1204334011634819,0.1032256630477442,0.1181368403363594,0.1247843135023597,0.1255936402727168
