,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.6858525169692047,0.6317315434077552,0.682450597764029,0.6710511573085736,0.6334562935796259,0.7090606397135275,0.7105540144535183,0.710662904021464
dataset2,0.703604729829434,0.7065914700309657,0.6994590116060182,0.705578505175706,0.6677301416599559,0.7144291301222104,0.7214381174369562,0.721353594624457
dataset3,0.3307075099823611,0.5232440797872264,0.4418162962552344,0.5067175540801127,0.4376760131257082,0.3783819847168148,0.3966273225034263,0.4020973828975938
dataset4,0.31204814021102,0.482842843604698,0.3686087831620872,0.4496655327400565,0.3690351515963441,0.3391105253126759,0.3275529869761467,0.3573974962709572
dataset5,0.3049723864708014,0.483725290074121,0.3947526970191546,0.4635268176702214,0.3611785910757568,0.3396347653980597,0.353707030054825,0.3474390479825257
dataset6,0.3384317256960594,0.5035922390573567,0.4092267889940729,0.4675111039026296,0.3937246036876199,0.3521574627397645,0.3693703117720888,0.3679975226040033
dataset7,0.3221656760517919,0.4890966579964201,0.4107083062230141,0.4679271589978022,0.4084298212233303,0.3950391626259417,0.3688827010632352,0.3785445792202372
dataset8,0.3127675450406121,0.4861197513485171,0.3686180546994952,0.4541881323151157,0.3715537106311598,0.356421620639998,0.356992909674553,0.3616798375779714
dataset9,0.2797203144438487,0.490944635205569,0.4008791597009395,0.453219696388276,0.3962089829013758,0.3995509675219674,0.3738025430294427,0.3744035768015863
dataset10,0.2941926836389811,0.4804082589022972,0.3729847403783168,0.4455684663985775,0.3465108427138073,0.3287274977051515,0.3362673169591385,0.340667130641019
dataset11,0.2920091889694364,0.4752246236841998,0.3712092934209046,0.4430196511067434,0.3712045492783143,0.328063944545123,0.3565314514197796,0.3437552198005141
dataset12,0.2160216740239179,0.4416224438660395,0.3333684195896229,0.4068712253011085,0.302099367488232,0.29060470989568,0.2875647814595521,0.2946708450837219
dataset13,0.6161530397912682,0.645327826666703,0.6279918804347353,0.656874174112142,0.608597421839554,0.636236595909297,0.6332040164930194,0.6303527580459259
dataset14,0.3470191145565553,0.4735254800526227,0.4105621806075081,0.443326614882767,0.3809241044612581,0.3541876756305856,0.3746780545921173,0.3739782738664243
dataset15,0.2478098930154301,0.4396990742797347,0.3501187921977617,0.3998228370658982,0.315688007183539,0.2886423090366881,0.2956384231072292,0.285186556642806
dataset16,0.2377517755036318,0.4326512128721125,0.341520757208932,0.3900981240380414,0.3261294326654202,0.2990917647048406,0.3098845330021227,0.3112075212835326
dataset17,0.2052043791238487,0.4394180386884491,0.3440596825281195,0.3825841455816908,0.325758076828991,0.30615138920426,0.2875940912386073,0.297186470372522
dataset18,0.2587973520282013,0.4516641775250736,0.3831302282812199,0.4265939741178312,0.3403276022314234,0.3185972984365334,0.3317922997786151,0.3264231836652382
dataset19,0.2290091588235955,0.4144054488036863,0.3431832631872432,0.3807561230228107,0.3008757278420005,0.3006003035703286,0.3017724988390903,0.2877635143125517
dataset20,0.2210840994180217,0.4295193064811093,0.3401156008940554,0.3992877037780596,0.3157300026439692,0.2960279841392756,0.2974916451882804,0.3080409549125424
dataset21,0.1682289815195152,0.4091513888962803,0.2783217403099384,0.3462941456619813,0.2516209382902491,0.2422949402373,0.2500597840708099,0.2478945054250085
dataset22,0.2258060012079819,0.3763245919050382,0.2947302540868297,0.3529344380158213,0.2942240200059201,0.2854334267559526,0.2773961921064365,0.2806589666721364
dataset23,0.2140265834818412,0.3660949973077222,0.2930391071523794,0.3505574042857445,0.2775101519424415,0.2539307684162094,0.2548642895880098,0.2605981006810111
dataset24,0.5211443870433856,0.5919114462349673,0.5311644613818787,0.5879185270551661,0.5440062107093938,0.51850825449251,0.5207768369811814,0.535503441969684
dataset25,0.1622275987107336,0.3898659101533267,0.281189534120745,0.3166960690264421,0.252245254388821,0.2232719094002343,0.2179276204090025,0.2222289351866649
dataset26,0.1315173918219454,0.3736147470737148,0.2840174134957923,0.3311180244052862,0.2103073687044145,0.2042572996886258,0.1954651353724141,0.1936210207503241
dataset27,0.1042660581923259,0.3970031631001988,0.2775699930675179,0.3291440228824216,0.2431113029025048,0.2076781511447301,0.207622728536957,0.2108976350112812
dataset28,0.2116285213183574,0.3973852678732774,0.3057474733783787,0.3282130829580452,0.2810069597920369,0.2454007184109413,0.2716450019049593,0.2758576172600137
dataset29,0.1823641635907299,0.4243122667364504,0.3341489206394031,0.3465354386980346,0.2828203988800667,0.2549703946080772,0.2438296786146201,0.2744563930727595
dataset30,0.3449402917757348,0.4516504189395056,0.6595904095904096,0.4336331555905592,0.4193088692048638,0.8602017195767195,0.841663315100815,0.7081538831538832
dataset31,0.4970218432580017,0.5774647127126765,0.5309044229680868,0.5701178432776361,0.5387022762756988,0.5259393049560618,0.5387668371963495,0.5096243478855313
dataset32,0.4203352517290274,0.5342869490754154,0.4823892939023017,0.5170707134911646,0.4719024064685408,0.4411703105747978,0.4638246710167764,0.4333001740846648
dataset33,0.4821016287826222,0.558320757035149,0.505001310840409,0.5459931081308819,0.4913220160007952,0.5084015643641163,0.5209313785281184,0.5141342074325387
dataset34,0.4121556530425256,0.5556883617607931,0.4789826509010179,0.5226416107972509,0.4726553721039361,0.4548847794011713,0.458823349223747,0.4497534711337485
dataset35,0.4229662292996285,0.5450289470755261,0.4836211939282586,0.5327879552536988,0.4951747549838713,0.4486002632815703,0.4503684453954791,0.4452685927946502
dataset36,0.3925957263069911,0.4958774992635514,0.4268674240208907,0.4899907573016642,0.4278112658810136,0.4085596572993535,0.4034606524604746,0.4226753151805138
