,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.705,0.35,0.64,0.47,0.645,0.625,0.625,0.725
dataset2,0.67,0.19,0.405,0.27,0.47,0.445,0.57,0.575
dataset3,0.545,0.14,0.3,0.295,0.31,0.455,0.415,0.46
dataset4,0.54,0.11,0.265,0.075,0.17,0.41,0.435,0.445
dataset5,0.61,0.11,0.23,0.21,0.26,0.54,0.575,0.565
dataset6,0.59,0.045,0.33,0.1,0.255,0.57,0.58,0.63
dataset7,0.57,0.115,0.315,0.13,0.24,0.5,0.56,0.56
dataset8,0.55,0.155,0.26,0.115,0.12,0.435,0.495,0.495
dataset9,0.515,0.105,0.245,0.105,0.195,0.5,0.43,0.49
dataset10,0.495,0.025,0.295,0.13,0.125,0.455,0.435,0.4
dataset11,0.51,0.145,0.275,0.21,0.225,0.415,0.495,0.48
dataset12,0.45,0.21,0.155,0.105,0.14,0.44,0.385,0.475
dataset13,0.665,0.18,0.415,0.18,0.265,0.505,0.585,0.515
dataset14,0.525,0.08,0.31,0.135,0.155,0.42,0.43,0.485
dataset15,0.46,0.035,0.21,0.13,0.195,0.48,0.5,0.415
dataset16,0.42,0.1,0.28,0.045,0.195,0.44,0.45,0.45
dataset17,0.43,0.06,0.2,0.08,0.205,0.47,0.47,0.465
dataset18,0.5,0.02,0.19,0.125,0.125,0.445,0.515,0.49
dataset19,0.465,0.125,0.195,0.085,0.135,0.445,0.39,0.46
dataset20,0.41,0.085,0.17,0.1,0.2,0.41,0.42,0.39
dataset21,0.35,0.09,0.25,0.17,0.1,0.395,0.405,0.42
dataset22,0.435,0.06,0.255,0.12,0.205,0.515,0.475,0.43
dataset23,0.46,0.01,0.21,0.06,0.125,0.41,0.385,0.355
dataset24,0.615,0.265,0.425,0.215,0.195,0.49,0.45,0.365
dataset25,0.305,0.045,0.125,0.015,0.185,0.39,0.34,0.32
dataset26,0.29,0.06,0.085,0.025,0.12,0.3,0.315,0.325
dataset27,0.255,0.175,0.31,0.035,0.145,0.38,0.335,0.345
dataset28,0.45,0.17,0.13,0.095,0.255,0.42,0.475,0.445
dataset29,0.325,0.06,0.31,0.12,0.15,0.305,0.315,0.37
dataset30,0.06,0.07,0.07,0.07,0.07,0.055,0.06,0.06
dataset31,0.735,0.17,0.355,0.095,0.47,0.545,0.515,0.455
dataset32,0.66,0.135,0.49,0.175,0.165,0.355,0.57,0.485
dataset33,0.655,0.045,0.515,0.145,0.19,0.56,0.555,0.585
dataset34,0.69,0.075,0.17,0.13,0.23,0.465,0.57,0.595
dataset35,0.595,0.05,0.42,0.25,0.205,0.55,0.38,0.405
dataset36,0.58,0.13,0.305,0.17,0.14,0.44,0.51,0.43
