,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.5595169637722829,0.0749769049676669,0.4012368815592204,0.342018521425208,0.3723551855705862,0.4236512044594863,0.4630297565374211,0.4607843137254901
dataset2,0.4418202764976958,0.1352351033644102,0.3015406327178643,0.2804996231291052,0.2623516282844679,0.2580645161290322,0.3133284241531664,0.3170307845084409
dataset3,0.2287409360580092,0.0527503168567807,0.1268845492259435,0.0809692671394799,0.100923682616596,0.1141164856860809,0.1271083673244405,0.1302153432032301
dataset4,0.2129277566539923,0.0567855513512062,0.1169714639102394,0.077966831789791,0.0971690895179801,0.1111411087113031,0.120279307631786,0.1194455367675973
dataset5,0.2220394736842105,0.0532100924306769,0.1148637064975141,0.0778445420229566,0.0957528463604963,0.1033898305084745,0.1208409682708072,0.122242917361043
dataset6,0.223050173869846,0.0569820220719117,0.1135467233009708,0.077702459075503,0.0931905830887008,0.1138692211578508,0.116181175282034,0.1172997946611909
dataset7,0.2648050072219547,0.0536002711918482,0.1221039448966812,0.0765689978095933,0.09757348791874,0.120452528837622,0.1244784422809457,0.1241719303651209
dataset8,0.2111895161290322,0.0469428666889408,0.099200609059764,0.0616297060340381,0.0779098178587294,0.0926932367149758,0.1004573804573804,0.1005581937848871
dataset9,0.2171088251218191,0.0481412603769244,0.0915154165755521,0.0664452858295574,0.0874531101282123,0.1102030499620861,0.1126651126651126,0.1112741712707182
dataset10,0.2253687315634218,0.0437182512699492,0.1011873646478978,0.058387786443434,0.0808666291502532,0.0980954657741652,0.1034308353704796,0.1045662875572907
dataset11,0.2163187855787476,0.041406265116189,0.0964004325660435,0.0573719153200551,0.0784429720776147,0.0959161053798277,0.1028054464040939,0.1041244706315595
dataset12,0.1985630306988896,0.0384340236792216,0.090321072319202,0.0520196708263452,0.0726253616200578,0.0915866952389825,0.0950086721911736,0.0950632789102502
dataset13,0.3850630455868089,0.1211491211491211,0.2514212163466695,0.2261519992612429,0.2193352919573999,0.2415724509905611,0.2600333518621456,0.2611672278338945
dataset14,0.2385204081632653,0.0414176763841658,0.1005648160903705,0.0560863363565411,0.0802121671357436,0.1027200540631863,0.1047247507585609,0.1047741935483871
dataset15,0.2092267706302794,0.034939824845693,0.0839584336934829,0.0453391846877808,0.0661512027491409,0.0872918204938879,0.0876739728310692,0.0870317002881844
dataset16,0.2122605363984674,0.0335004002645226,0.0842782196649179,0.0423103978323737,0.0669324246126149,0.0903540903540903,0.0965349274880991,0.0953490953490953
dataset17,0.2297979797979798,0.037316655736656,0.0933247385761352,0.0501447477253928,0.0748565148369764,0.0980255285201436,0.101981833195706,0.1050517860917353
dataset18,0.2190114068441064,0.0367664351452627,0.0868417664477919,0.0478852519308569,0.0699464350720266,0.086216364634816,0.093201109336919,0.0919973212790892
dataset19,0.2030651340996168,0.0326279338207002,0.0785631832688259,0.0411966086896583,0.06061814556331,0.0768682145970362,0.0838775337121533,0.0835466803208738
dataset20,0.2088709677419354,0.0313365251499769,0.0750990710063015,0.0420156239003448,0.0606239913932221,0.0820596797671033,0.085136143230138,0.0843206219918548
dataset21,0.1775147928994082,0.0284524219768365,0.0728794949217677,0.0351866892025374,0.05648,0.077859978347167,0.0820546407185628,0.0800368833563854
dataset22,0.2205746061167748,0.0284702451218665,0.0785437867278199,0.0392497476466583,0.0634332815673157,0.0876843363889996,0.0905272001680319,0.0921505264255186
dataset23,0.2039532794249775,0.0283992165733359,0.0708057202650854,0.0370589136094156,0.0552067547088114,0.0764439411098527,0.0780604896783485,0.0791536050156739
dataset24,0.2954545454545454,0.1026950498053294,0.1802664446294754,0.157184655396619,0.1586109392948661,0.1738466238924534,0.1834047109207708,0.184646856158484
dataset25,0.1632016632016632,0.0259642216799902,0.0607431958697176,0.033234749675525,0.0497698811944771,0.0669069402088531,0.0670535138620245,0.0680711610486891
dataset26,0.1325536062378167,0.0242236878263259,0.0571055738519853,0.0306672540012166,0.045290358432898,0.0626974723538704,0.0625746120175089,0.063575386410032
dataset27,0.1695464362850972,0.0254313082476765,0.0670289855072463,0.0329619894020945,0.0581216774955699,0.0787842431513697,0.0821817420435511,0.0837022981235505
dataset28,0.2250252270433905,0.025626875916928,0.0696226899383983,0.0339304985970213,0.0577609151141061,0.0818725099601593,0.0825002524487529,0.0814345560437314
dataset29,0.1733870967741935,0.0250162768568137,0.0687508367920739,0.033468623165782,0.0547960431254862,0.0687160940325497,0.0779505582137161,0.0755670000990393
dataset30,0.5,0.1076923076923077,0.3461538461538461,0.1428571428571428,0.2195121951219512,0.3478260869565217,0.3333333333333333,0.3636363636363636
dataset31,0.3561946902654867,0.0943896273342575,0.1966205837173579,0.1553196068584547,0.1724197149235789,0.1981691459481951,0.2052893995230869,0.2068776093166337
dataset32,0.325696316262354,0.0894572526416906,0.1716705157813703,0.135169294219384,0.1533576086036074,0.160847166571265,0.1852344529431326,0.1827921722969279
dataset33,0.3121185701830863,0.0816366167092868,0.1795817958179582,0.1375112443778111,0.1534781287970838,0.1632742586418669,0.1842602726096905,0.1858593985718596
dataset34,0.3078245915735167,0.0862227677201595,0.1631666813109568,0.1240500909772021,0.1427144284287141,0.158713692946058,0.1696037296037296,0.1713935739187788
dataset35,0.2594547053649956,0.072151248829694,0.142537498964117,0.1029223701037275,0.1178012144455097,0.1439051437345389,0.1465615418309242,0.1450395083406497
dataset36,0.2348927875243664,0.0550474697326016,0.1176622482354966,0.0807196230545904,0.0993331480966935,0.117443238807331,0.1215006665397067,0.1232132647226986
