,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TimeGAN ADV-O,MIMO ADV-O
dataset1,0.3524085476276711,0.9112640347700108,0.7754436798261499,0.7892068091271278,0.7776168055052517,0.7707352408547627,0.7439333574791742,0.749003984063745
dataset2,0.5248032842969552,0.9131029763941156,0.8771809784468012,0.8912076633595621,0.8847074923024291,0.8785494355114608,0.8734177215189873,0.8737598357851523
dataset3,0.1525945470536499,0.9151275285839928,0.5514511873350924,0.7832014072119613,0.5861917326297273,0.5083553210202286,0.5070360598065083,0.5105540897097626
dataset4,0.1657505285412262,0.8947145877378435,0.559830866807611,0.7653276955602537,0.5906976744186047,0.5221987315010571,0.5171247357293869,0.5137420718816068
dataset5,0.1572204968944099,0.9095496894409938,0.5201863354037267,0.7845496894409938,0.5811335403726708,0.4736024844720496,0.4864130434782608,0.484083850931677
dataset6,0.1574886004910557,0.8982813048053314,0.5250789196773062,0.7558751315327955,0.5678709224833391,0.4794808839003858,0.4840406874780779,0.4808839003858295
dataset7,0.1875852660300136,0.9167803547066848,0.5985675306957708,0.8226466575716235,0.6487039563437926,0.555593451568895,0.5494542974079127,0.5497953615279673
dataset8,0.1665341812400635,0.8934817170111288,0.5178855325914149,0.7599364069952306,0.5576311605723371,0.4880763116057233,0.4801271860095389,0.4797297297297297
dataset9,0.1473181484202792,0.9224834680382072,0.6149889786921381,0.7865540044085232,0.5738427626745041,0.4805290227773696,0.4794268919911829,0.4735488611315209
dataset10,0.1578512396694215,0.903305785123967,0.5599173553719008,0.8012396694214876,0.593801652892562,0.5086776859504132,0.5070247933884298,0.509090909090909
dataset11,0.1422037422037422,0.8898128898128899,0.518918918918919,0.7617463617463618,0.5513513513513514,0.4677754677754678,0.4677754677754678,0.4702702702702703
dataset12,0.1253091508656224,0.8858202802967848,0.4777411376751855,0.754328112118714,0.4967023907666941,0.4051937345424567,0.4064303380049464,0.4056059356966199
dataset13,0.4285714285714285,0.9226340410219503,0.843468873695574,0.8812522490104354,0.8596617488305146,0.8380712486505938,0.8416696653472472,0.8373515653112631
dataset14,0.137905604719764,0.9251474926253688,0.5383480825958702,0.7684365781710915,0.5464601769911505,0.4483775811209439,0.4454277286135693,0.4491150442477876
dataset15,0.1501165501165501,0.8946386946386946,0.5687645687645687,0.7995337995337995,0.5743589743589743,0.496037296037296,0.4904428904428904,0.4927738927738928
dataset16,0.1275322283609576,0.8862799263351749,0.4585635359116022,0.7476979742173112,0.4792817679558011,0.4088397790055249,0.4014732965009208,0.39548802946593
dataset17,0.1054868624420401,0.901468315301391,0.5034775888717156,0.749613601236476,0.4737248840803709,0.3798299845440495,0.3817619783616692,0.384080370942813
dataset18,0.1101338432122371,0.8967495219885278,0.5158699808795411,0.7468451242829828,0.51434034416826,0.4202676864244742,0.4240917782026768,0.4202676864244742
dataset19,0.1117200674536256,0.893760539629005,0.4877740303541315,0.7559021922428331,0.5126475548060708,0.40893760539629,0.4169477234401349,0.4127318718381113
dataset20,0.1076028250934773,0.9027835479850436,0.4802658911508101,0.7440797673452431,0.4682176983797258,0.3747403406730369,0.3793103448275862,0.3784794349813045
dataset21,0.0976744186046511,0.8832558139534884,0.493953488372093,0.7455813953488372,0.4925581395348837,0.4013953488372093,0.407906976744186,0.4037209302325581
dataset22,0.1022776106574989,0.8809626128061883,0.4709926944563816,0.7185217017619252,0.456381607219596,0.3781693167168027,0.3704340352385045,0.3798882681564245
dataset23,0.0985243055555555,0.8936631944444444,0.4405381944444444,0.7352430555555556,0.4427083333333333,0.3515625,0.3528645833333333,0.3506944444444444
dataset24,0.3583815028901734,0.9030680302356604,0.7701200533570476,0.8599377501111605,0.7981325033348154,0.7590040017785683,0.7616718541574032,0.7625611382836817
dataset25,0.0729215048769159,0.894565722248026,0.442638179284719,0.725499303297724,0.4319554110543427,0.3362749651648862,0.3381328379006038,0.3376683697166744
dataset26,0.0672601384767556,0.8719090009891197,0.4545004945598417,0.7230464886251237,0.4030662710187933,0.3140454995054401,0.311078140454995,0.3234421364985163
dataset27,0.0715261958997722,0.8938496583143508,0.4719817767653758,0.7198177676537585,0.4482915717539863,0.358997722095672,0.357630979498861,0.3617312072892938
dataset28,0.1010421386497508,0.8627095604893521,0.4916175804259175,0.712279111916629,0.4621658359764386,0.3724512913457182,0.3701857725419121,0.3611236973266878
dataset29,0.0769919427036705,0.8943598925693823,0.4597135183527305,0.7197851387645479,0.44136078782453,0.3401969561324978,0.3500447627573858,0.3415398388540734
dataset30,0.0714285714285714,1.0,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.5714285714285714
dataset31,0.3223868642370845,0.9271125350420504,0.7689227072486985,0.8670404485382459,0.8041649979975971,0.762915498598318,0.7585102122547056,0.7541049259110933
dataset32,0.2912816392125351,0.8979509843310567,0.7167537163519486,0.8163921253515468,0.7276014463640016,0.6773804740859783,0.6713539574126155,0.6717557251908397
dataset33,0.2614092734574662,0.9207740051113544,0.6929536327126689,0.837166849215042,0.737860533041256,0.6794450529390288,0.6761591821832785,0.6746987951807228
dataset34,0.2582972582972583,0.9123376623376624,0.6699134199134199,0.8362193362193362,0.7215007215007215,0.6623376623376623,0.6562049062049062,0.6562049062049062
dataset35,0.2270103886110042,0.9191996921893036,0.6617929973066564,0.8360908041554445,0.7091188918814929,0.6490958060792612,0.6437091188918815,0.6356290881108119
dataset36,0.2268235294117647,0.892235294117647,0.6432941176470588,0.7981176470588235,0.6729411764705883,0.6061176470588235,0.6004705882352941,0.6084705882352941
