Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.09814564551010785,0.2711592008414558,0.17772757687011054,0.18882798426941425,0.1390869579223377,0.13909394588845192,0.14698459012737067,0.14524445071606643
0.18788976064968538,0.44704591220632417,0.3867743487090812,0.4216388163445415,0.3182361395112131,0.27645612753199,0.2993390142594926,0.2989519657313009
0.1702127659574468,0.03874976285334851,0.09093452714045887,0.056663474749156915,0.07584116869997669,0.09832760052188352,0.1,0.10306134894499329
0.1249302844394869,0.9113218070273285,0.5437813720022309,0.7590630228667038,0.5443390964863357,0.46235359732292247,0.4595649749023982,0.4712771890686001
0.14409778063686074,0.07433861832078434,0.1558130243707551,0.10545482721214938,0.1331332696767153,0.16216744913928013,0.1642579487690621,0.16913530824659728
0.4,0.22,0.02,0.02,0.12,0.46,0.38,0.38
0.35,0.17,0.09,0.04,0.18,0.4,0.36,0.33
0.305,0.165,0.085,0.08,0.27,0.38,0.385,0.35
0.242,0.166,0.154,0.122,0.192,0.304,0.312,0.306
0.186,0.126,0.157,0.089,0.174,0.264,0.253,0.261
0.1455,0.1065,0.162,0.119,0.1375,0.2035,0.2035,0.206
