,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1328545780969479,0.0800674252001685,0.1607999183756759,0.1178920856340211,0.1351285586827804,0.1610895855348127,0.1653734238603297,0.1673199412052915
dataset2,0.1440977806368607,0.0743386183207843,0.1558130243707551,0.1054548272121493,0.1331332696767153,0.1621674491392801,0.1642579487690621,0.1691353082465972
dataset3,0.2265114958841896,0.1143029733539163,0.2260919212103911,0.1699758141627763,0.1937747940189197,0.2268226822682268,0.2289254519601868,0.2302304334585321
dataset4,0.2284829721362229,0.1111870429850338,0.2364738292011019,0.1878747501665556,0.2050639706540216,0.240927536231884,0.2429862101759391,0.241237838471457
dataset5,0.1818718630056096,0.0988356590525286,0.1929577464788732,0.147581934452438,0.1609306834706737,0.19548729616989,0.1944074567243675,0.1957454927024706
dataset6,0.2632384450566269,0.1065937110403102,0.2423839592334108,0.174483813408106,0.2018061827023272,0.2392344497607655,0.2470269633816083,0.2432527164388363
dataset7,0.1434782608695652,0.0766783046802492,0.171516868400721,0.1094449418084154,0.1393359136280301,0.1676794726542383,0.1690918746680828,0.1691376070160785
dataset8,0.0901087519419989,0.0652758595624045,0.2696403455897126,0.2335611595569172,0.2328368430063345,0.2344339622641509,0.2536888428682371,0.2454966546577457
dataset9,0.2434394193188163,0.1261295904633724,0.2376943646627711,0.2079931852062184,0.2114994728732463,0.2463330906064703,0.2457316434482036,0.2454669321874017
dataset10,0.1550600343053173,0.0678197041953277,0.1609977324263038,0.1022413860078467,0.135064935064935,0.1699716713881019,0.1636203479409821,0.1700449216610058
dataset11,0.1835748792270531,0.0764779605877176,0.180168776371308,0.115138800800117,0.145073511493786,0.1854926019487549,0.1859154929577464,0.1864998195163036
dataset12,0.1351351351351351,0.05820512257753,0.1324833702882483,0.0824143070044709,0.1070524412296564,0.1296586282492953,0.1399709789038955,0.1416194986715952
dataset13,0.1805225653206651,0.0859857881680191,0.1972554369633256,0.1339470655926352,0.1624912792541384,0.2002735978112175,0.2055934898512768,0.2080663399924613
dataset14,0.2911719153329892,0.1424475283862828,0.2908463568094175,0.2483977900552486,0.2533906715183592,0.2941485450152327,0.2974479948530989,0.2973379132674967
dataset15,0.2052356020942408,0.0816695275092601,0.1736652099562987,0.1202924124023191,0.1479020168456842,0.1806713705366688,0.1798747570719067,0.1806186459009301
dataset16,0.147688060731539,0.0646900269541778,0.1619994527045516,0.0961524631427544,0.1299962644751587,0.1609221638895229,0.1613090402692352,0.1647992530345471
dataset17,0.2206381534283774,0.1141565646188617,0.2094566569888013,0.176043557168784,0.1884870976093898,0.2212901031629067,0.2199931608343781,0.2244292237442922
dataset18,0.1844119693806541,0.0772057851458184,0.1841411478401946,0.1246668640805448,0.1516618793598687,0.1872632575757575,0.1854288790525182,0.188875453446191
dataset19,0.2728304027226318,0.122333408410824,0.3103858208148708,0.2752786138452778,0.2723202046970666,0.3126410835214447,0.3245407442298633,0.3248850642461393
dataset20,0.1456692913385826,0.0708841819797073,0.154071363220494,0.1018536585365853,0.12623512805001,0.1520502256229154,0.1591184795794581,0.1576214234802973
dataset21,0.160174509192895,0.0814525462962963,0.1721608769243169,0.1203605079885292,0.1466090653500651,0.1799640071985603,0.178651002633178,0.1846278975193168
dataset22,0.1963431786216596,0.1108509926727676,0.2221370388116914,0.1725594841005114,0.1914485299762032,0.2217518395323052,0.2238222587944867,0.225803119512447
dataset23,0.3046033300685602,0.1376105191566538,0.2996729759191359,0.2568973315241972,0.2590775269872424,0.3032778515266006,0.3042501021659174,0.3052382422558403
dataset24,0.1873177842565598,0.0761374187558031,0.1786321155480034,0.1234763337027069,0.1474248185274801,0.1779876498365419,0.1854287882620794,0.1867145421903052
dataset25,0.1538461538461538,0.0723066816816816,0.1609984922097504,0.102837015199663,0.1333054451648888,0.1639144970114476,0.1614957879597288,0.1668564330814615
dataset26,0.1910972497873547,0.0813646454025002,0.181058276161186,0.1146755586217469,0.1438145944253053,0.1781785392245266,0.1826719454930485,0.1829279402386808
dataset27,0.2267499178442326,0.1104174659086946,0.2348230710962017,0.186089850249584,0.20276008492569,0.2438319894090745,0.2432756964457253,0.2433671008200675
dataset28,0.1737567405632115,0.0859562898671964,0.1752401472304515,0.1201690289638172,0.1426967868668444,0.174512987012987,0.1763307493540051,0.1784609036517433
dataset29,0.2147766323024054,0.1122522241298579,0.2386929667264395,0.187707932060935,0.200447841865493,0.2371598117454471,0.2375064935064934,0.2390488110137672
