,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1030006596096191,0.2467933471826194,0.1806035082626352,0.2085276708044045,0.136196391732161,0.1357308583834548,0.1411563593380809,0.1399013514054585
dataset2,0.0981456455101078,0.2711592008414558,0.1777275768701105,0.1888279842694142,0.1390869579223377,0.1390939458884519,0.1469845901273706,0.1452444507160664
dataset3,0.1705111593690705,0.3384836726858629,0.2827491735674479,0.2794255836488934,0.2301024315608245,0.2310377071845314,0.2269610055945701,0.2357371700632781
dataset4,0.1885878304183603,0.3519611563349549,0.2876582694726553,0.3028091465250286,0.2292495826297847,0.2454592454930695,0.242035596644737,0.2517672733488927
dataset5,0.1358878265707516,0.3153055027739943,0.2531481647070452,0.2679789234364376,0.1913590164114318,0.2015461181038863,0.195125607453158,0.1941374264927076
dataset6,0.2258253089521047,0.373851047781911,0.3248189776409801,0.324079852645451,0.2617543852631415,0.275830591605041,0.2820344406213256,0.2854577419755881
dataset7,0.1071063964602377,0.2515280307756228,0.1949213081239647,0.1950445357595353,0.142970435204624,0.146944896071957,0.1501027432038859,0.1520388691298547
dataset8,0.1116003133142867,0.3568851658173888,0.2599948824662456,0.2884794951479633,0.1603859120344678,0.1446244051470603,0.171422133692864,0.1634458279581338
dataset9,0.2102320230363288,0.3856414829274626,0.3070582312986165,0.332686033345415,0.2606253637799499,0.2710779473550843,0.2784761678276307,0.2705096013231785
dataset10,0.1084907738432904,0.2507732524389163,0.18152552056578,0.1957840627894521,0.1404030698974366,0.1542658726150175,0.1581031248543513,0.1579658971893794
dataset11,0.1409391951570809,0.2790769499551147,0.2142850213082715,0.2169120328691903,0.1729802308914785,0.1801032527846929,0.1824356878463121,0.1819030901729912
dataset12,0.096167808868767,0.2394942483289171,0.1694013467944681,0.172596846326291,0.1282072599481952,0.1239953497702031,0.1348744682311087,0.1338012229396156
dataset13,0.150064455068643,0.3003056119672635,0.244433220979116,0.2385980270223944,0.1811592155808088,0.2073017683311498,0.2106782601286366,0.2085235517552718
dataset14,0.2645801633368872,0.4094790755106581,0.3506111426014209,0.3633590862995203,0.3048270871338301,0.3209869155925014,0.3211925186462576,0.3174388194790489
dataset15,0.1463808767758019,0.3079658782169661,0.2345193884475508,0.2541186874795238,0.1910634514947822,0.2020026768245463,0.1926630596794452,0.19889342036955
dataset16,0.1029537785755735,0.2331354044333738,0.1854669044866714,0.1807415447743498,0.1341737880143634,0.1368101909066573,0.1359927048653033,0.1412592164186699
dataset17,0.1791499363549381,0.3543205310389432,0.2728267901245547,0.3007851740616395,0.229217946610395,0.2325693057498673,0.2221874975004379,0.2257655990313528
dataset18,0.1325235186999587,0.3012291632567098,0.2422277267187553,0.2388388131678422,0.1758171906740811,0.1793610557426047,0.1857603617704693,0.1881950873269952
dataset19,0.2505918042252445,0.4272591780667263,0.366769450708182,0.3776643140260132,0.3015143133830767,0.317307492988106,0.3196325352000917,0.3271302990955739
dataset20,0.105815659584181,0.25171469093944,0.1900501843058961,0.2012003154297787,0.1406345995636528,0.151248127472201,0.1511044660024783,0.1489553547319919
dataset21,0.1231680468207896,0.2915494550288828,0.2311418790942236,0.2422657451512638,0.1656168337808743,0.1763428289313952,0.1779062525431128,0.1754130474275199
dataset22,0.159158123853098,0.325309789662496,0.251390579787676,0.2760631417481248,0.2007686391632671,0.1981628990200161,0.213604127619339,0.2143412863426994
dataset23,0.2726486643236737,0.4436766458357918,0.3833762925131906,0.395496506589012,0.3309900985718709,0.3389259500208785,0.332059993476605,0.3432892502132634
dataset24,0.1372278938837294,0.2804116970334814,0.224205574461666,0.2328857161600609,0.1678085482854117,0.1806329662272177,0.1914196853949127,0.1901154408216831
dataset25,0.1080448335963634,0.2684236986057742,0.1969163278523718,0.2017205646112384,0.151741764421408,0.1597648118599184,0.1574378308970583,0.1599546080398962
dataset26,0.1460261704571718,0.2869595915735268,0.2267912528436557,0.2250689406976296,0.1816274170259406,0.1996724832650342,0.2038155925500483,0.2067760275539216
dataset27,0.1832010294721637,0.3593915815417826,0.297232405606537,0.3020716657631779,0.2336692130901123,0.2425045532589228,0.2506324275732646,0.2462828521675923
dataset28,0.1217554072449805,0.266174863941115,0.2138903324508645,0.2079211626697114,0.1627073955572303,0.1707571136582862,0.174094007334639,0.1718442419488808
dataset29,0.1793797257920851,0.3638988654683044,0.2871455222793078,0.2975236001351014,0.2287450679919073,0.2419576890699074,0.2477468253868549,0.2476324379586784
