,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.2317598844864319,0.4472959769529715,0.3577226925362209,0.434386614343261,0.3294285843939833,0.2745846633817061,0.2810414940229402,0.2721567950403148
dataset2,0.1878897606496853,0.4470459122063241,0.3867743487090812,0.4216388163445415,0.3182361395112131,0.27645612753199,0.2993390142594926,0.2989519657313009
dataset3,0.3009005141166934,0.4893010061682598,0.4228642920205661,0.4731911258355998,0.4144519095169474,0.3863667051891317,0.3584932193992327,0.386141739794303
dataset4,0.3135104913380681,0.4475418424397582,0.3726736743972998,0.4351101702958001,0.3573409911575976,0.3438161123844264,0.3573181372002497,0.3562674388465028
dataset5,0.2698383912290695,0.4973368822468847,0.3889430361189278,0.4803949605570116,0.3947583030284816,0.3745306595044575,0.3470507323816438,0.3585340522916853
dataset6,0.4052739912617949,0.4916694783648008,0.4213029219050802,0.4800087590868261,0.414738256151663,0.3821489975273504,0.3979761321658676,0.4015753113570502
dataset7,0.2400616086958401,0.4640259508441969,0.379548901000221,0.4197274923534202,0.3209478372315477,0.2968259426757744,0.3078657341851182,0.3010608762528742
dataset8,0.1618586950996636,0.4945881269507216,0.4310702434289278,0.4871146438197035,0.3484064627323573,0.2675090592529311,0.2620566326966719,0.243635702860045
dataset9,0.3681884609648836,0.514374295001822,0.435193349387286,0.5142714488771987,0.4298152223656978,0.435318718921647,0.4324811661285501,0.4268366120878737
dataset10,0.1998696707989323,0.4223715779189153,0.3580340242530757,0.4156499751290733,0.3386561355635439,0.2881162693699315,0.292189739481775,0.2854705703228257
dataset11,0.255808976873147,0.4123765597473898,0.3348127765353536,0.3910431321528262,0.3413598553751552,0.301718863082724,0.2848368074587639,0.3069752999559226
dataset12,0.2083793614176106,0.3963635982995817,0.3273043298655045,0.3895830650227397,0.3017587710782521,0.2514264779942698,0.2571874001980935,0.2612673195103071
dataset13,0.2892635157583472,0.4373749416280125,0.3790701605743218,0.4240854753783629,0.3751082503493121,0.3424738717121646,0.3435855010723121,0.3419618709990211
dataset14,0.4383810786935755,0.540604728583595,0.4528274827467647,0.5297079281088011,0.4790277512561806,0.4543859458462353,0.4625580567385617,0.4618005910244538
dataset15,0.2972369490569578,0.4779242998470938,0.3868713339859274,0.462267556189875,0.4042867420059291,0.3472137240350005,0.3409076109479605,0.3537653243099996
dataset16,0.2278110849206526,0.4025442943092336,0.3325899383121579,0.3825651669553944,0.2901637094781437,0.293789904882318,0.2687368772610147,0.2980331496430131
dataset17,0.3287092591348994,0.4903192575383736,0.4171192891434914,0.4902951463111446,0.4134508486566976,0.3779142461997273,0.3632057471246584,0.3673067408664794
dataset18,0.2670118019885548,0.4482481961967737,0.3954437789487526,0.4334190288337931,0.3628789719077104,0.3366842538118234,0.3193314484017799,0.3401303122133575
dataset19,0.4261691213574565,0.5411845050678429,0.4780457870091451,0.539773958857722,0.4843658881369002,0.4698289623875276,0.4707483170430495,0.4621537344302652
dataset20,0.1957822410876553,0.3862890160660864,0.3160444465932067,0.3785300938380886,0.2781797554027562,0.2540381684741858,0.2442092280124928,0.2456469953631137
dataset21,0.2232244546010151,0.4423294680627909,0.3668516127909913,0.4325950779969463,0.3468544294898267,0.3016734518261962,0.3049242584914925,0.2960260461340131
dataset22,0.3196331536914198,0.4863313681937777,0.4150185855098824,0.470030863206767,0.3921649783455981,0.3603046422243844,0.3673175277384428,0.377310188086733
dataset23,0.4584077218133068,0.5318231775366145,0.4687868886028136,0.532442068161728,0.477434569487412,0.4762626213013745,0.458450736033749,0.458157173586995
dataset24,0.2673460628227471,0.4288723536888145,0.3620666254694668,0.4166107345888265,0.3241232592070973,0.3262473943156022,0.3225884268386785,0.3164945505718332
dataset25,0.1912123594622329,0.4285214392431917,0.3351348798767734,0.3850558114108839,0.3129268395592547,0.2928703876589476,0.2774581821660555,0.2788595521794311
dataset26,0.2799050150479597,0.4323330410208879,0.3672387474533992,0.4276822103622837,0.3595082179419553,0.3472480436000991,0.3462920512697518,0.3365714000436863
dataset27,0.3435087367695555,0.4950964255293366,0.4240778215393311,0.4806202088030574,0.4222074833629953,0.3873808921563662,0.4015624400149874,0.3915234466900181
dataset28,0.2353273454270893,0.4161514457321626,0.3282131309957701,0.3884136186857155,0.3318121357513292,0.3140718593249011,0.3195609840146933,0.293026768907775
dataset29,0.3459163570356486,0.5077807020163471,0.4334141494137146,0.4898276482117158,0.4261343573386884,0.4003349535913822,0.3852804906290915,0.402035928704794
