,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.56,0.22,0.04,0.16,0.02,0.44,0.54,0.34
dataset2,0.4,0.22,0.02,0.02,0.12,0.46,0.38,0.38
dataset3,0.56,0.3,0.3,0.06,0.2,0.38,0.24,0.32
dataset4,0.7,0.06,0.24,0.46,0.54,0.5,0.5,0.48
dataset5,0.26,0.0,0.46,0.12,0.14,0.36,0.38,0.3
dataset6,0.7,0.02,0.52,0.08,0.0,0.62,0.42,0.38
dataset7,0.6,0.0,0.18,0.0,0.2,0.38,0.64,0.32
dataset8,0.44,0.0,0.24,0.16,0.14,0.5,0.42,0.38
dataset9,0.5,0.32,0.6,0.26,0.2,0.44,0.4,0.62
dataset10,0.5,0.02,0.08,0.14,0.14,0.44,0.48,0.46
dataset11,0.6,0.28,0.26,0.0,0.22,0.28,0.6,0.34
dataset12,0.48,0.06,0.12,0.0,0.26,0.48,0.38,0.42
dataset13,0.6,0.14,0.06,0.18,0.24,0.62,0.54,0.46
dataset14,0.64,0.14,0.22,0.42,0.36,0.54,0.5,0.54
dataset15,0.56,0.0,0.16,0.3,0.12,0.38,0.36,0.32
dataset16,0.48,0.18,0.22,0.04,0.12,0.42,0.32,0.44
dataset17,0.56,0.1,0.18,0.06,0.34,0.4,0.52,0.68
dataset18,0.52,0.26,0.38,0.18,0.22,0.34,0.38,0.34
dataset19,0.6,0.2,0.36,0.4,0.38,0.58,0.54,0.36
dataset20,0.46,0.1,0.12,0.26,0.06,0.34,0.46,0.54
dataset21,0.44,0.08,0.3,0.04,0.18,0.38,0.48,0.56
dataset22,0.52,0.32,0.38,0.0,0.22,0.4,0.62,0.36
dataset23,0.62,0.54,0.28,0.3,0.72,0.44,0.26,0.56
dataset24,0.46,0.02,0.2,0.0,0.14,0.5,0.48,0.38
dataset25,0.48,0.36,0.04,0.0,0.26,0.3,0.36,0.34
dataset26,0.56,0.16,0.16,0.12,0.32,0.44,0.64,0.4
dataset27,0.76,0.38,0.5,0.08,0.06,0.42,0.44,0.68
dataset28,0.48,0.22,0.18,0.08,0.02,0.52,0.42,0.42
dataset29,0.58,0.12,0.42,0.22,0.24,0.58,0.74,0.5
