,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1703499079189687,0.0419090683503818,0.0972599358183164,0.0642318045073098,0.0783631232361241,0.1006160164271047,0.1041380363414261,0.105645784996133
dataset2,0.1702127659574468,0.0387497628533485,0.0909345271404588,0.0566634747491569,0.0758411686999766,0.0983276005218835,0.1,0.1030613489449932
dataset3,0.2402167369054786,0.0609607674684994,0.1373886897189777,0.0949299491110133,0.1129290414369553,0.1393634017451149,0.1411573146292585,0.1419451746150957
dataset4,0.2602256699576868,0.0592627668099366,0.147735095690486,0.1068343688437642,0.1223705285638013,0.1525025686188169,0.1548484848484848,0.15314778984968
dataset5,0.196553924696873,0.052234365703191,0.1148846960167715,0.0811716860848538,0.0920687742651137,0.1181255728689276,0.1175523349436392,0.1184347223825464
dataset6,0.2724968314321926,0.0566079376172435,0.1490869446715726,0.09776476469328,0.1182456497405108,0.1481168006771053,0.1541740152851264,0.1515283842794759
dataset7,0.1767406273909716,0.0400313790637041,0.1026088742810189,0.0589274954810202,0.0800686748868425,0.1044125192406362,0.1061050386563583,0.1056751467710371
dataset8,0.2191435768261964,0.0338978785514759,0.194888178913738,0.1425489067894131,0.1578825168330624,0.1836659275683665,0.210390725633319,0.2028061224489795
dataset9,0.242761692650334,0.0677154300342706,0.1443869570448802,0.1190960084545971,0.123660502607871,0.1512712405774881,0.1511403169694627,0.1509993552546744
dataset10,0.1884904086738949,0.0352387694977961,0.0946666666666666,0.0547717151537853,0.0770750988142292,0.1045296167247386,0.1008688569101276,0.1047092160302253
dataset11,0.2018209408194233,0.0399209376130954,0.1081012658227848,0.0623777554580536,0.0832168483831889,0.1145106193375909,0.1152619589977221,0.115138909523102
dataset12,0.1551724137931034,0.0300960076261376,0.076931330472103,0.0436532996526681,0.06006006006006,0.0769040247678018,0.0841046277665996,0.085698308402069
dataset13,0.2209302325581395,0.0451185879757308,0.1202544031311154,0.0732720634520961,0.0947064912021292,0.1258596973865199,0.1300591715976331,0.1318838848405208
dataset14,0.3121195351411179,0.0773349937733499,0.1840246564787466,0.1465067778936392,0.1528179551122194,0.1878690284487386,0.1910731505717041,0.1910608359773762
dataset15,0.2168141592920354,0.0427787242097293,0.1013640900521237,0.065098766779439,0.0837123862841147,0.1077119184193754,0.1074422804075841,0.1079229675584852
dataset16,0.2016965127238454,0.0335765213065826,0.0973044049967127,0.0514765333230662,0.0753377208174575,0.1018050541516245,0.1025073746312684,0.1048878324171742
dataset17,0.2313167259786477,0.0609370887075546,0.1246451931383438,0.0986312084473993,0.1086999800915787,0.134065934065934,0.1334347345132743,0.1361684443828785
dataset18,0.2114924181963288,0.0403314917127071,0.1101808033005703,0.0677538758650287,0.0874668686103748,0.1158634832283579,0.1150192935589195,0.1174612723717852
dataset19,0.3331024930747922,0.0655585060523502,0.2002510110165946,0.1657036529233179,0.1681525787157205,0.2043375627028622,0.2149765990639625,0.2152788626777066
dataset20,0.1664167916041979,0.0369215781782756,0.0913628472222222,0.0545773911588808,0.0713363215072551,0.0913915094339622,0.0962337979946197,0.0954730479832243
dataset21,0.1871813546977421,0.0426127762640024,0.1010311228833601,0.0650748648888101,0.0838628696948301,0.1102130786186627,0.109728788255785,0.1135
dataset22,0.2255979314802844,0.0590292393873652,0.1375341165302005,0.0971214017521902,0.113168164080225,0.1390117528118286,0.141042260824475,0.1424475433337677
dataset23,0.2976076555023923,0.074411572409284,0.1867358280844757,0.1511710432931156,0.1547781903459058,0.1904090267983074,0.191044393122915,0.1920238249384954
dataset24,0.2176121930567315,0.039766081871345,0.1070928307653126,0.067287784679089,0.0852232990308722,0.1097670250896057,0.1155604603499921,0.1167602245388933
dataset25,0.1809006211180124,0.03769292860113,0.0942434049230165,0.0550906555090655,0.0758609744485002,0.0995079950799508,0.0983360440385337,0.1017676767676767
dataset26,0.2102308172177167,0.0425974407281446,0.1067212047968764,0.0619025944469731,0.0817605583647888,0.1077896574296312,0.110999216739398,0.1109024632718435
dataset27,0.2647735993860322,0.0587754798945531,0.1446473803492867,0.1052314640572073,0.1198243412797992,0.1542091642563556,0.1537644201578628,0.153998778998779
dataset28,0.2012491325468424,0.0452207399257323,0.10560484743562,0.065558810816003,0.0823015294974508,0.1080537755999497,0.1096682951915659,0.1109401051686546
dataset29,0.2414681262073406,0.0597421584263689,0.1479194962341029,0.1058312491773068,0.1178714130039956,0.147925973197192,0.148711943793911,0.1498235063406981
