,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1088875809299588,0.8946439081812831,0.4638022366097704,0.7163037080635668,0.4902884049440847,0.403766921718658,0.4014125956444968,0.402001177163037
dataset2,0.1249302844394869,0.9113218070273283,0.5437813720022309,0.7590630228667038,0.5443390964863357,0.4623535973229224,0.4595649749023982,0.4712771890686001
dataset3,0.2142857142857142,0.9146079484425348,0.6380236305048335,0.8114930182599356,0.682062298603652,0.6090225563909775,0.6052631578947368,0.6090225563909775
dataset4,0.2036423841059602,0.8979028697571744,0.5921633554083885,0.7781456953642384,0.6324503311258278,0.5733995584988962,0.5640176600441501,0.5678807947019867
dataset5,0.1692307692307692,0.9164835164835164,0.6021978021978022,0.8115384615384615,0.6384615384615384,0.5664835164835165,0.5615384615384615,0.5637362637362637
dataset6,0.2545885139135583,0.911190053285968,0.6477205447010065,0.8105387803433984,0.6879810538780343,0.6216696269982238,0.6210775606867969,0.6163410301953819
dataset7,0.1207527443805541,0.9069524307370622,0.5222164140094093,0.766858337689493,0.5363303711447988,0.4255096706743335,0.4161003659174072,0.4234187140616832
dataset8,0.0567144719687092,0.878096479791395,0.4374185136897001,0.6460234680573663,0.4432855280312907,0.3239895697522816,0.3194263363754889,0.3109517601043025
dataset9,0.244120940649496,0.9182530795072787,0.671892497200448,0.8202687569988801,0.7301231802911534,0.6629339305711086,0.6567749160134378,0.6556550951847704
dataset10,0.1317016317016317,0.8991841491841492,0.5378787878787878,0.7668997668997669,0.5454545454545454,0.4545454545454545,0.432983682983683,0.4522144522144522
dataset11,0.1683544303797468,0.9075949367088608,0.540506329113924,0.7468354430379747,0.5651898734177215,0.4879746835443038,0.480379746835443,0.490506329113924
dataset12,0.1196808510638298,0.8816489361702128,0.4767287234042553,0.7353723404255319,0.4920212765957447,0.4128989361702128,0.4168882978723404,0.4075797872340425
dataset13,0.1526104417670682,0.9125390450691656,0.5484158857652833,0.7791164658634538,0.571619812583668,0.4899598393574297,0.4904060687193217,0.4926372155287818
dataset14,0.2728592162554427,0.9013062409288825,0.6932752781809386,0.8156748911465893,0.741170778906628,0.6773101112723754,0.6710208030962748,0.6700532172230286
dataset15,0.1948310139165009,0.8986083499005965,0.6056991385023194,0.7905897945659377,0.6341948310139165,0.559973492379059,0.5520212060967529,0.5533465871438038
dataset16,0.1164942841589548,0.8818726183995645,0.4833968426782798,0.7278170930865542,0.4735982580293957,0.3837778987479586,0.3783342406096897,0.3843222645617855
dataset17,0.2109020116807268,0.9013627514600908,0.6554185593770279,0.81829980532122,0.7086307592472421,0.6333549643088904,0.6262167423750811,0.6378974691758599
dataset18,0.1634793337446021,0.9006785934608267,0.5601480567550895,0.7791486736582357,0.5700185070943862,0.4879703886489821,0.4780999383096854,0.4818013571869216
dataset19,0.2310278578290105,0.9130643611911624,0.6897214217098944,0.8126801152737753,0.7156580211335255,0.665225744476465,0.6618635926993276,0.6618635926993276
dataset20,0.1295215869311552,0.8844807467911319,0.4912485414235706,0.7613768961493582,0.5478413068844807,0.4521586931155192,0.4591598599766627,0.4515752625437573
dataset21,0.1399782135076252,0.9199346405228758,0.5816993464052288,0.8001089324618736,0.5822440087145969,0.4901960784313725,0.4803921568627451,0.494553376906318
dataset22,0.173804780876494,0.9078685258964144,0.577191235059761,0.7729083665338645,0.6210159362549801,0.547808764940239,0.5418326693227091,0.5443227091633466
dataset23,0.3119358074222668,0.9132397191574724,0.7582748244734202,0.8545636910732196,0.794383149448345,0.7447342026078235,0.746740220661986,0.7437311935807422
dataset24,0.164427383237364,0.891874600127959,0.5380678182981445,0.7485604606525912,0.5457453614843251,0.4702495201535508,0.4689699296225208,0.4657709532949456
dataset25,0.1338311315336013,0.8851234922458358,0.5519816197587594,0.7713957495692131,0.5491097070649053,0.4646754738655945,0.4514646754738656,0.462952326249282
dataset26,0.1751559251559251,0.9048856548856548,0.5966735966735967,0.7775467775467776,0.5966735966735967,0.5135135135135135,0.5155925155925156,0.5218295218295218
dataset27,0.1982758620689655,0.9097701149425288,0.6235632183908046,0.803448275862069,0.6586206896551724,0.582183908045977,0.582183908045977,0.5798850574712644
dataset28,0.1528729573010016,0.8666315234580917,0.5144965735371639,0.7195571955719557,0.5361096468107538,0.4533473906167633,0.4496573537163943,0.455983131259884
dataset29,0.1933986591026302,0.9272821041774112,0.6178442496132027,0.8292934502320783,0.669417225373904,0.5977307890665291,0.5894791129448169,0.591026302217638
