Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
0.10481158946099298,0.26919169380569763,0.18610544765436754,0.18103215814571189,0.1397807776020318,0.15290428208374635,0.15764108906803634,0.157104651775213
0.21541320101444006,0.46257314814368067,0.39243391594329347,0.4442069431324095,0.34828002855952583,0.31978783402422795,0.31018430678838793,0.32750237574409735
0.19230769230769232,0.03766385347459149,0.10121429072787254,0.05745353999946827,0.07804667708726351,0.10612999823850626,0.10671832350092454,0.1034243606415258
0.11926605504587157,0.9236697247706422,0.5291743119266055,0.7930275229357798,0.5313761467889908,0.44220183486238535,0.4447706422018349,0.43779816513761466
0.14722536806342015,0.0723764611159835,0.16992693848691964,0.10714462789429323,0.13610301720086473,0.17117693017970026,0.17213463996591394,0.16732117812061714
0.26,0.52,0.24,0.2,0.18,0.36,0.3,0.36
0.36,0.31,0.21,0.12,0.2,0.43,0.34,0.44
0.39,0.215,0.245,0.09,0.225,0.43,0.425,0.4
0.298,0.156,0.224,0.088,0.242,0.398,0.414,0.406
0.227,0.131,0.231,0.083,0.172,0.328,0.347,0.327
0.1775,0.143,0.229,0.1015,0.169,0.2595,0.267,0.2615
