,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1533349157370045,0.0688003552623231,0.1566911678917279,0.0967990546164517,0.1266515228779379,0.1619449741214927,0.1606245756958588,0.1592356687898089
dataset2,0.1360845001228199,0.0591352430688887,0.1388658080598255,0.0835015404228195,0.1125850933845348,0.1406960179092327,0.1439022753204913,0.1415191084979832
dataset3,0.168041237113402,0.0763619660082682,0.1840869054609512,0.1208619400448643,0.1494089834515366,0.1908655937364071,0.1912385643912737,0.1895349863231271
dataset4,0.1971039550464664,0.0954469549121783,0.1948815391010034,0.1440865998789753,0.1664727554779911,0.200492906148005,0.2025537634408602,0.2041118975396022
dataset5,0.1800687285223367,0.0786716213049445,0.1746615849651728,0.119125555295768,0.1479241414659149,0.1787769508171564,0.1807191568505889,0.1832737447536142
dataset6,0.2102533413125872,0.1159674331711142,0.2166721150702844,0.1625428666248755,0.1868374094678282,0.2174391417961766,0.2188041294256218,0.2176158570630932
dataset7,0.1335730798869766,0.0605460092305285,0.1446114874167079,0.0840796592609646,0.1192100173063219,0.1540444730905575,0.1514859437751003,0.1534433513170422
dataset8,0.1601470202152795,0.0927941176470588,0.3150698908274665,0.2754291057236359,0.2774057102573141,0.3157645946584732,0.3108736059479554,0.3131277324825712
dataset9,0.2391799544419134,0.1083360978152694,0.2388470451911935,0.1811133373987281,0.2030728918532634,0.2416159725471845,0.2426870614207995,0.247106712427169
dataset10,0.1158423697434541,0.0538065972657719,0.1276910809887231,0.0726836051068132,0.1021625652498135,0.1347439570935272,0.1343955152319834,0.1329053906193012
dataset11,0.1472253680634201,0.0723764611159835,0.1699269384869196,0.1071446278942932,0.1361030172008647,0.1711769301797002,0.1721346399659139,0.1673211781206171
dataset12,0.1460674157303371,0.0474017775666587,0.1239546339786916,0.063451224098007,0.097513722957701,0.1323529411764706,0.1313392043729122,0.134777012190505
dataset13,0.1320667284522706,0.065831386706307,0.1622987053994316,0.0980878838021695,0.1321929156777573,0.167983651226158,0.1717011128775835,0.1687512956948379
dataset14,0.2286459465333623,0.1105467256540499,0.2054233996809764,0.171172868582195,0.1799153608601166,0.2126780311416131,0.2111636148848198,0.2112852203339954
dataset15,0.1696186705563659,0.0859375,0.1768659769711847,0.1205414817727349,0.1456922934248354,0.1769769769769769,0.1777988743473248,0.1786028863744156
dataset16,0.1234078686668553,0.0472380952380952,0.1311227384479606,0.0672736147365293,0.104147080330095,0.1426878808395396,0.1423517520215633,0.140551445864156
dataset17,0.1246325690770135,0.0442419546942032,0.1199071387115496,0.060844479412536,0.0960523007291928,0.1332232769294263,0.1333223467369808,0.1370049294577596
dataset18,0.2396013864818024,0.1061037687386167,0.231738413079346,0.1724496877168632,0.193450759639247,0.2322127285794138,0.2321442885771543,0.2334712419891295
dataset19,0.1704697986577181,0.0696781532919372,0.1528707291299753,0.1032275636660765,0.12663060769965,0.157923422809647,0.1567831031681559,0.1583688952110004
dataset20,0.2899786780383795,0.1303065031333057,0.2864769841786574,0.248476979926096,0.2545293857711003,0.2979251395877852,0.3021602983604251,0.3014174541411895
dataset21,0.0778605280974949,0.0417783949434974,0.0976331360946745,0.0537480184192647,0.0785088141797514,0.1008921330089213,0.1035512777962163,0.0985038414880711
dataset22,0.1524842946887492,0.0529700671273167,0.1408603609716379,0.0766673945216779,0.1123305358295674,0.1503890880475649,0.1515525758645024,0.1525748086290883
dataset23,0.1287458379578246,0.0455691642651296,0.1172099837789754,0.0674020848092298,0.0969026756009559,0.1297580520881491,0.13203125,0.1308831511204156
dataset24,0.152473227944926,0.0652558653133461,0.151642796967144,0.0955774470760846,0.1304739052189562,0.1586440677966102,0.1588208753195969,0.1613850207000376
dataset25,0.1687170474516696,0.0742465897350587,0.1709693478415475,0.1143465222017993,0.1417660311006099,0.1765179578031889,0.1734425968653035,0.1737508111615833
dataset26,0.2748559077809798,0.1366893061659342,0.2616657623440043,0.2256335988414192,0.2328682691768925,0.2725668713388383,0.2745014245014245,0.2746984491671453
dataset27,0.0989081567116249,0.0434071982121215,0.1164836308749284,0.0604675363288363,0.0998606133014735,0.1330998248686515,0.1352036504985634,0.1371467953135768
dataset28,0.1946656050955414,0.0792504218597353,0.1905538344475243,0.120340566919323,0.1526938462847902,0.1922934420155613,0.1966007102993404,0.1939265448649997
dataset29,0.0953552752999077,0.0451326598054952,0.1039424524619416,0.0622102236046716,0.0848254571360722,0.1081081081081081,0.1096172097437519,0.109726467591504
dataset30,0.1186790505675954,0.0524099087873199,0.1228060642286583,0.0728461839047364,0.1007913001193581,0.1339692482915717,0.1281852191713136,0.1331523680262876
dataset31,0.1789500905094388,0.0569276346150983,0.1422368984284229,0.0791873763451237,0.1153190683582655,0.1514893617021276,0.1500670572457118,0.1501816149762503
dataset32,0.1054931335830212,0.043164841855762,0.1160042964554242,0.0616458160649227,0.0992233009708737,0.1296326530612244,0.1325629385059843,0.1309731571511676
dataset33,0.2222222222222222,0.1958041958041958,0.4210526315789474,0.25,0.4,0.4117647058823529,0.5,0.4516129032258064
dataset34,0.2115858668857847,0.1055719704113493,0.2334048591403059,0.1763809077049372,0.1965524718126626,0.235449930100802,0.2424562462281231,0.2398020395920816
dataset35,0.1298634372584385,0.0621616902392177,0.1431161610056811,0.0873838630806845,0.1166429587482218,0.1484323127997049,0.1483553875236294,0.1519890677194048
dataset36,0.1770394247458467,0.0755123195917391,0.1630635380964935,0.1117448174584201,0.1375768922171703,0.1708238851095993,0.1728715288373512,0.1732307457911175
