,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.107781512036755,0.26849601692889,0.1837584950095263,0.1805847134622512,0.1461472167943039,0.1500465440601222,0.1533254742573633,0.1568750659231486
dataset2,0.0961989680278012,0.2241644052806297,0.1453935874250009,0.1390043561978936,0.1151460647128606,0.1278846922596404,0.1305186127301221,0.1308369639923182
dataset3,0.1296279764175867,0.3002399703311915,0.2098246019115408,0.2079553015931072,0.161443107851237,0.1781076235621368,0.1780164058804481,0.1826918134776519
dataset4,0.1518677246731402,0.3183256650608318,0.2552575494107096,0.2596009634068049,0.2002080804233564,0.208460673542197,0.2127191242048599,0.2106933815950988
dataset5,0.1317611811150643,0.2789751970187994,0.2068031584331862,0.2111861211838015,0.1669020363606525,0.1826047649902888,0.1854466034850622,0.1866420894737042
dataset6,0.1652294608564868,0.3279695005785291,0.254477395659976,0.2577917120609178,0.2109277460286007,0.2240914988209644,0.2259839080059619,0.2216653504166306
dataset7,0.0925130747257013,0.2311133142122599,0.1502299733042859,0.1400170279229336,0.1139236911338077,0.1230818451306109,0.1243275267726102,0.1230832946542088
dataset8,0.1744384263128343,0.4004855602486682,0.3147265803490636,0.3474231181095685,0.2369055092139259,0.2551142701180355,0.2556351322505691,0.2562733031375149
dataset9,0.1976674719076311,0.3834479396318604,0.306683833876232,0.3107684099519149,0.2435026736353984,0.2614229504727392,0.2669889374877088,0.2664438512028429
dataset10,0.0774711667677913,0.2143655983823602,0.1458103196744148,0.1370056567325146,0.1050761831275965,0.1204862604966437,0.1200681333036123,0.1190501430274915
dataset11,0.1048115894609929,0.2691916938056976,0.1861054476543675,0.1810321581457118,0.1397807776020318,0.1529042820837463,0.1576410890680363,0.157104651775213
dataset12,0.0889649098802139,0.2102181338944122,0.1541549502287307,0.1371507808085366,0.1095065782614294,0.121806964888775,0.1244326339018505,0.1217957319649824
dataset13,0.1059780651264727,0.2571823965148779,0.1827555146119327,0.1776747944544691,0.1321326637402965,0.153321866170889,0.1557804388901626,0.1585948095326985
dataset14,0.1805759850309639,0.3582043251039682,0.2642981039153547,0.3020080281932766,0.2315599999582893,0.2310176467370446,0.2319290679679153,0.2284918921838922
dataset15,0.1230070159293043,0.2682552266361546,0.2076096995204802,0.1990229295643914,0.1573430434165782,0.1698610688440197,0.1713922557338721,0.1698548700411014
dataset16,0.0840267479616009,0.2124221426546242,0.1347979864181115,0.1198920468909656,0.1046564830865295,0.1177060486875702,0.1209906662449592,0.1199946872349176
dataset17,0.079023884401371,0.2010009878577095,0.130323520151679,0.115314558878735,0.0987866846169501,0.1122837959077298,0.115579911801183,0.1145942308116635
dataset18,0.1903738243282288,0.3437737829607705,0.2850469702697406,0.2862590143076062,0.2329244457933495,0.2406343621991547,0.2444774572298415,0.2433638140305515
dataset19,0.1195317776933058,0.2659242251596908,0.1816576655690098,0.1844328308484495,0.1483303821563686,0.1604039320503536,0.1596161654393463,0.1668698462598803
dataset20,0.2585904570956701,0.4344932057637266,0.3676162182999559,0.3700705909735955,0.310162476289722,0.3263836902098574,0.3319948631065016,0.3286693445790736
dataset21,0.0501815752091645,0.1718224821319765,0.0986320748091921,0.0920023639784523,0.0679688773125369,0.0656010323573793,0.0703132031934645,0.0676835539305695
dataset22,0.0997793955227951,0.2329630112719699,0.1526867160769353,0.1526916122847513,0.1239999108816242,0.1419160387661339,0.1412658628160924,0.1446736765158139
dataset23,0.081302772212664,0.2017853657714719,0.1305487119265813,0.1258965969554416,0.1019386868769269,0.1206159739156206,0.1211729269933666,0.1217106820005851
dataset24,0.1029536386331787,0.2467482108056542,0.17200431852573,0.1751374788784797,0.1331314978911074,0.1439324918594687,0.1411175638184099,0.1507161614388222
dataset25,0.1207366168239836,0.2732359918777407,0.1930136858249038,0.1988777191754647,0.1518711105904482,0.1611048053879792,0.1670712775030652,0.1658233189855858
dataset26,0.2457154931594619,0.4129215904039854,0.3244892661023695,0.3423998700486358,0.2898803149950974,0.2969373016545953,0.3062397798758038,0.3031571451594284
dataset27,0.0676370067939641,0.2159855106610817,0.1332808299295147,0.128352456668832,0.0907547172954739,0.1051366732995625,0.1049271895884716,0.1149633721055363
dataset28,0.1488347985250283,0.2942700459523848,0.2356730966284734,0.211043214868759,0.1816827779141291,0.2094094494305781,0.2057451406022002,0.2098839524090999
dataset29,0.0604679818396162,0.1904097947891979,0.1069158181081224,0.1097067736180669,0.0762439389618233,0.0800345067311547,0.0855346800769214,0.0857346208598446
dataset30,0.0777552948210034,0.2120534376606465,0.1300943251209098,0.1240833960980849,0.1025512024218314,0.110964178432367,0.1103973573957545,0.1154198831796421
dataset31,0.1255869131319454,0.2652579344774549,0.1908166057245634,0.1778942744392894,0.1523972384834979,0.1640714625303854,0.1661086202177635,0.166045907165402
dataset32,0.0768439980905978,0.1994932816832285,0.1216785199784122,0.1111492210180351,0.0910860329927827,0.1084428147918376,0.1071195594001316,0.1074672434006654
dataset33,0.4332724588716917,0.5659214160337894,0.4576069509987195,0.435888529338612,0.3898072513044938,0.3879546057264257,0.4517605270908915,0.4831735544349096
dataset34,0.1822342501813015,0.3506833779008032,0.2724800484164541,0.2780523778197636,0.2234196037186394,0.2437097154313631,0.2517327462294279,0.244732360125767
dataset35,0.0977139709568502,0.2365479702613503,0.1591213711388534,0.1562952547474126,0.118465120095152,0.13549064048953,0.1380408018812276,0.1371744941325945
dataset36,0.1336237672319253,0.3028481887011408,0.213104687071489,0.2205525806621947,0.1748173188807709,0.1906531021179276,0.1969056399444892,0.1915174927187035
