,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.2206907036953798,0.4426563416310065,0.3717588324023221,0.4148779102432586,0.3424799577742259,0.2892583231884378,0.2923853667976842,0.2935937380138336
dataset2,0.2396635311025874,0.4378481976003126,0.3437538595816458,0.3939861238372309,0.308476185646219,0.2759579067527802,0.295311622682177,0.2888602571216108
dataset3,0.2865115490273054,0.478696562121843,0.4164291762753477,0.4540810558374433,0.3826526786079451,0.362305829831466,0.3609845641467351,0.3678161435341354
dataset4,0.3294272773475415,0.5113268616686631,0.4363481399815497,0.4949994692202533,0.4366680545428519,0.3778474830949571,0.4129841202705813,0.3959232358408374
dataset5,0.2539232598671387,0.4483310546146489,0.3713097610856035,0.4549074912826035,0.3447039598635944,0.3430119609933301,0.33901759563656,0.337251945553838
dataset6,0.3204469533400668,0.4834643651029409,0.4231034052668419,0.4734865547582977,0.4059519604573833,0.3943907551635046,0.3898597839185318,0.3842766772337599
dataset7,0.2040185228503553,0.4215373178223027,0.359363663691506,0.3862498044807483,0.3198590033740127,0.2852307691705404,0.2702944729445835,0.2528691943946703
dataset8,0.3169571254017186,0.5362818540264022,0.4670708275810639,0.5354414900189337,0.4407154941935343,0.4192095671630622,0.3875527596495436,0.4011203439552876
dataset9,0.3879608988224911,0.5264619723498026,0.4461646271715516,0.5258939301971476,0.4612488306930322,0.4395277837724857,0.4311888770506483,0.4512782021902882
dataset10,0.1755688719906424,0.4129870150741327,0.3506289044493449,0.3855047862368727,0.3075621935565853,0.2822486568919286,0.2711014205865876,0.2856005126867079
dataset11,0.21541320101444,0.4625731481436806,0.3924339159432934,0.4442069431324095,0.3482800285595258,0.3197878340242279,0.3101843067883879,0.3275023757440973
dataset12,0.1808024197499225,0.4030707787334753,0.3086658519930075,0.3555229974041675,0.2941911379006482,0.2538478569149709,0.2617204783228085,0.2407519122909366
dataset13,0.2477502391003042,0.4686108864565731,0.4121088450390776,0.4619941194288774,0.3588799154409757,0.3425026935666018,0.3466689218062305,0.3573807412102159
dataset14,0.3781423395868825,0.5217496861767879,0.4327460373101305,0.5191570194345194,0.4577316194776781,0.4153854880440629,0.4070439610136169,0.4066212203847992
dataset15,0.2834515230622529,0.4856158663750407,0.4013256791263734,0.4619679448437888,0.3947972664243826,0.3565440106994669,0.3579948936302234,0.3668763070886083
dataset16,0.1676531038288123,0.3733587120698012,0.300333134417295,0.318940919127377,0.2691327861660746,0.2580632346276467,0.2663360586795542,0.2712312035107096
dataset17,0.1679302800970656,0.3881597093052399,0.3141860340497561,0.341774867833548,0.2811009057744783,0.2608503388372414,0.2656677139732905,0.2681672220538649
dataset18,0.3296307686895036,0.4805213016045981,0.4144468978418283,0.4749732196359523,0.4049987897114658,0.3937048570663061,0.3861425441667179,0.3909949546471108
dataset19,0.2612434714026062,0.4510109225297937,0.3697347007084272,0.4360133435745626,0.3502188722000395,0.3147144094358888,0.3132646539669209,0.3331887528850249
dataset20,0.4671769832432668,0.5765839845059408,0.497025277216138,0.5653963974212053,0.5107999163419439,0.5213347684153555,0.5223207088890253,0.515777831758818
dataset21,0.1223241608116662,0.3887746976122063,0.2854060845242867,0.3273501500437122,0.232737930909607,0.1800142085249272,0.1902062596533242,0.1840193665775607
dataset22,0.2043137178550815,0.4021543681333713,0.3323786184760536,0.3937351873732978,0.2993358261285722,0.2924203354707841,0.278497981070924,0.276876011608438
dataset23,0.1540751934897906,0.3728377460066025,0.2972070313129079,0.3420856404332493,0.2494343634197853,0.2466686228111339,0.2375995962003654,0.252324192123268
dataset24,0.2092409757299752,0.4571579239928474,0.3862836343774911,0.4340411964599424,0.3604913846829146,0.3048696498995416,0.2878156870490215,0.3109533766562483
dataset25,0.2522242960783251,0.4549790382547647,0.3607752070627672,0.4355559199388337,0.3458278514116186,0.3125948891782836,0.329101955896336,0.3172439598048079
dataset26,0.4392581660242416,0.5578721686929503,0.4744188287315515,0.5456651687183861,0.4833553329618456,0.4771990308820751,0.4854933831117066,0.4751658802204941
dataset27,0.1441834854516271,0.3936156180601109,0.3311128847309415,0.372134492351631,0.2737453564365779,0.2292932053124329,0.2370999366767972,0.2580246115260527
dataset28,0.291094706082953,0.4551861448598286,0.3777605394556261,0.4451842126753113,0.3724758647818096,0.3655355788638541,0.3630499770951717,0.3581674104275492
dataset29,0.1495734189729138,0.3681447526310159,0.25658129922965,0.3213672262745901,0.2189193687214254,0.1780488321061581,0.1927171804134623,0.1976084749181154
dataset30,0.1661211541668817,0.4144434372307949,0.3024400569515775,0.3792881399071875,0.2984941092161076,0.2468348996467727,0.2365727597515798,0.2534683163664341
dataset31,0.26001549976274,0.4333468351429443,0.3451069644729402,0.3950752232487414,0.3229720198399204,0.3037555279287683,0.3098727150606359,0.287358880860297
dataset32,0.2247571756541308,0.4214001459697081,0.3189572968706341,0.3555263811882299,0.2880130353663376,0.2827061871001596,0.283061320298011,0.2840576090279228
dataset33,0.4436788128952307,0.5750344524602293,0.4712727400397545,0.476262155012155,0.3636810218925584,0.4348184070804169,0.4731772072116709,0.5283917734867102
dataset34,0.3644078962010972,0.5028957667114189,0.438117907793476,0.4997596853471169,0.4321146656265213,0.4190370132594006,0.427540408721194,0.4114989973365021
dataset35,0.2332504947250492,0.4481452416401718,0.3594748669357087,0.4183449220080057,0.3285615814439328,0.3137469519002315,0.2934980515950213,0.2858084848332863
dataset36,0.2707002386645439,0.4618804656717952,0.378827926949643,0.4698929900393587,0.3901866384991383,0.3490620056188954,0.3691772728609616,0.3433619026673523
