,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.415,0.07,0.295,0.085,0.18,0.345,0.35,0.365
dataset2,0.44,0.08,0.08,0.055,0.105,0.44,0.445,0.43
dataset3,0.425,0.01,0.14,0.145,0.235,0.415,0.4,0.475
dataset4,0.48,0.11,0.29,0.08,0.115,0.37,0.395,0.405
dataset5,0.46,0.025,0.28,0.045,0.195,0.455,0.545,0.425
dataset6,0.5,0.07,0.19,0.21,0.25,0.355,0.435,0.33
dataset7,0.38,0.145,0.12,0.065,0.165,0.38,0.375,0.355
dataset8,0.455,0.24,0.275,0.15,0.31,0.575,0.54,0.53
dataset9,0.59,0.115,0.23,0.11,0.195,0.525,0.405,0.42
dataset10,0.34,0.2,0.2,0.105,0.175,0.435,0.385,0.365
dataset11,0.39,0.215,0.245,0.09,0.225,0.43,0.425,0.4
dataset12,0.34,0.15,0.115,0.105,0.075,0.355,0.385,0.375
dataset13,0.425,0.225,0.17,0.21,0.14,0.44,0.485,0.515
dataset14,0.545,0.095,0.255,0.22,0.11,0.265,0.4,0.41
dataset15,0.445,0.295,0.16,0.17,0.22,0.5,0.43,0.43
dataset16,0.345,0.025,0.195,0.145,0.165,0.445,0.445,0.385
dataset17,0.35,0.135,0.105,0.15,0.175,0.4,0.42,0.44
dataset18,0.575,0.255,0.31,0.055,0.225,0.385,0.475,0.455
dataset19,0.45,0.145,0.12,0.03,0.095,0.36,0.45,0.41
dataset20,0.625,0.29,0.33,0.37,0.315,0.465,0.44,0.5
dataset21,0.235,0.03,0.22,0.075,0.08,0.265,0.295,0.3
dataset22,0.38,0.25,0.225,0.07,0.07,0.4,0.34,0.37
dataset23,0.395,0.02,0.14,0.07,0.14,0.355,0.425,0.315
dataset24,0.355,0.095,0.225,0.07,0.11,0.375,0.36,0.345
dataset25,0.435,0.145,0.235,0.06,0.165,0.38,0.525,0.395
dataset26,0.59,0.06,0.275,0.16,0.365,0.45,0.37,0.49
dataset27,0.265,0.095,0.115,0.08,0.22,0.365,0.36,0.395
dataset28,0.52,0.025,0.245,0.06,0.175,0.48,0.405,0.43
dataset29,0.305,0.07,0.195,0.06,0.115,0.275,0.33,0.28
dataset30,0.355,0.115,0.12,0.075,0.095,0.3,0.345,0.395
dataset31,0.395,0.05,0.13,0.115,0.165,0.33,0.32,0.365
dataset32,0.385,0.015,0.06,0.09,0.175,0.39,0.35,0.355
dataset33,0.05,0.07,0.065,0.07,0.055,0.05,0.055,0.065
dataset34,0.595,0.07,0.29,0.2,0.32,0.455,0.51,0.465
dataset35,0.41,0.08,0.18,0.115,0.185,0.415,0.345,0.375
dataset36,0.48,0.085,0.06,0.09,0.105,0.425,0.395,0.39
