,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1798440979955456,0.0357714191473571,0.0912054329371816,0.0516037141526746,0.0713166962514357,0.0969267139479905,0.0960773166571915,0.0952110850012154
dataset2,0.1910344827586207,0.0305940003973246,0.0803727081454764,0.0442129421294212,0.0635624538063562,0.0855610561056105,0.0873106369115491,0.0862068965517241
dataset3,0.206721623335447,0.0398680019953186,0.1107676000353325,0.0655628894870754,0.0864746528015324,0.1193429068755439,0.119911748483177,0.1189368770764119
dataset4,0.2241887905604719,0.0503502441095308,0.1151740595171252,0.0789231392479652,0.0952037704463543,0.1211755233494363,0.1226499552372426,0.1236726025159287
dataset5,0.219430485762144,0.0411069129582983,0.1051091426763682,0.0644080652297579,0.0852031176192725,0.111387321923702,0.1128751210067763,0.1145549941702293
dataset6,0.2354781054512958,0.0619486471834803,0.1323482428115016,0.0905356556030233,0.1093433257571104,0.1343588000339933,0.1354434722937039,0.1349433047693239
dataset7,0.2,0.0313322268550378,0.0843505075163818,0.0447088781156652,0.0686682695126957,0.0973622568489663,0.0956680531601907,0.0965937468784337
dataset8,0.2899239543726236,0.0488740003485467,0.2191936399772856,0.1687950229207596,0.1832149924339425,0.2341805433829973,0.228678858314818,0.2322117069751139
dataset9,0.2760252365930599,0.0575615651911164,0.1456713780918728,0.1015632633121641,0.1191974272930648,0.1498935552544997,0.1509563511525257,0.1541679115625933
dataset10,0.1585807385952208,0.0277382645803698,0.0739543475392532,0.0382771934496072,0.0575146935348446,0.0817946659530818,0.0816527740432015,0.0805553099301441
dataset11,0.1923076923076923,0.0376638534745914,0.1012142907278725,0.0574535399994682,0.0780466770872635,0.1061299982385062,0.1067183235009245,0.1034243606415258
dataset12,0.1859799713876967,0.0243592214299479,0.0707374476987447,0.0331438023364002,0.0541579136137726,0.0789897904352498,0.0785649409627611,0.0805794477138976
dataset13,0.1772388059701492,0.0341428492758411,0.0946360623542408,0.0522987942358592,0.0752178565968506,0.102990310725025,0.1056212262947529,0.103800051007396
dataset14,0.223165040305473,0.0588817129225577,0.1216427104722792,0.0957020962814705,0.1032016795696103,0.127443176793137,0.1265486725663716,0.1265309718917966
dataset15,0.209577754891864,0.0451600235617514,0.1061605388717373,0.0655287184341506,0.0839702816826126,0.1093337730870712,0.1102607232968881,0.1107376911443455
dataset16,0.1795716639209225,0.0242896144758266,0.0767867690490254,0.0353778849158519,0.0592500148570749,0.0887648731178266,0.0884538888307338,0.0872924715464132
dataset17,0.1784511784511784,0.0227021895211535,0.0687932871603622,0.0318445781860416,0.0540433478580725,0.0815069184930815,0.0815359806490626,0.0843802345058626
dataset18,0.2612187057156353,0.0563394251989981,0.142593447161975,0.0967067179063092,0.1139637712166595,0.1450518754988028,0.1451483560545308,0.1464183964183964
dataset19,0.1945863125638406,0.0362789779364583,0.0896570720286461,0.0554044966815776,0.0714762173533788,0.0952654939996712,0.0944535073409461,0.0954207819769814
dataset20,0.3014407092722571,0.0701496455762667,0.1768773114648657,0.1454545454545454,0.1517486662714878,0.1865182116347315,0.1901682905225863,0.1890855200069741
dataset21,0.1229946524064171,0.0214065777690543,0.0548881907226021,0.0279385508838705,0.0434829002827722,0.0603239259043739,0.062194757300907,0.0588633288227334
dataset22,0.1997008227374719,0.0273173280692077,0.0825578620854211,0.0404588753456929,0.0635693843999269,0.0927523727351164,0.093664812997492,0.0939877826599507
dataset23,0.1779141104294478,0.0233901909120325,0.0666230444351912,0.0353465661819339,0.0543038705950317,0.078853717924705,0.0804761904761904,0.0796451825988487
dataset24,0.1974900924702774,0.0338613208583852,0.0886699507389162,0.0510067114093959,0.0741645828597408,0.0968988681328793,0.0969696969696969,0.0985565872942907
dataset25,0.2060085836909871,0.0387179253036252,0.1026560765223332,0.0618653826023238,0.0814034202057171,0.1088813828730379,0.1066849368699226,0.1073576583801122
dataset26,0.2765494744472635,0.0738374769797421,0.1614090871056815,0.1303983930364914,0.1380364022851069,0.1697433192686357,0.1713345781097181,0.1718006286484059
dataset27,0.1664864864864864,0.0222450142450142,0.0657307330827067,0.0315157384987893,0.0560366500921839,0.0814119567435217,0.0829445308449974,0.0845100329121987
dataset28,0.2338593974175035,0.0414235976789168,0.113345402819087,0.0651288247028743,0.087235594456601,0.1174119598823618,0.1207635372029606,0.1186660561660561
dataset29,0.1416819012797075,0.0231558295285269,0.059077079107505,0.0324754901960784,0.0472536776378452,0.0650452488687782,0.0660818155811957,0.0660252782493869
dataset30,0.152621101526211,0.0270020415238241,0.0704752401147561,0.0382885804470964,0.0562907367173612,0.0805719667779775,0.0769621969825394,0.0801375752364574
dataset31,0.2013969732246798,0.0294045275590551,0.0818783441284145,0.041758912894114,0.0641897233201581,0.089364906702368,0.0884506573473123,0.0883537437330484
dataset32,0.1745867768595041,0.0221201956829401,0.06591796875,0.0322112769686347,0.0556523633195382,0.079288995406431,0.0812835307217329,0.0804327855465959
dataset33,0.5,0.1085271317829457,0.3333333333333333,0.1463414634146341,0.3076923076923077,0.35,0.5,0.4117647058823529
dataset34,0.2414439756211908,0.0559951985062019,0.1439549180327868,0.0987481397181125,0.1153821676318971,0.1473839351510685,0.1527421347780629,0.1508348269031223
dataset35,0.1734342739160357,0.0322191384095571,0.0838645700524153,0.0464493657725098,0.0662063589286708,0.0904107126808663,0.090858571825507,0.0931682799702159
dataset36,0.1851659751037344,0.0394098920077404,0.0946659523991734,0.060200176626435,0.0775165762507534,0.1015730337078651,0.1029719167499772,0.1031573217201959
