,Baseline,Baseline_balanced,SMOTE,Random,KMeansSMOTE,CTGAN,TIMEGAN,ADVO
dataset1,0.1336367397600331,0.8973934629706247,0.5556474968969797,0.7794786925941249,0.5651634257343815,0.491932147290029,0.4894497310715763,0.4861398427803061
dataset2,0.1056848531095002,0.8813429988553987,0.5101106447920641,0.7497138496756963,0.4921785578023655,0.3956505150705837,0.4090041968714231,0.3948874475391072
dataset3,0.1415544941380807,0.9023013460703432,0.5445071645679549,0.7720364741641338,0.5488493269648285,0.4763352149370386,0.471993052540165,0.4663482414242292
dataset4,0.1758580794446587,0.9147705360586194,0.6328576937909757,0.8264558426532973,0.6621673736984188,0.5804087929039722,0.5811801002699576,0.5838796760509063
dataset5,0.1526806526806526,0.912975912975913,0.5163170163170163,0.7917637917637917,0.5606060606060606,0.4526029526029526,0.452991452991453,0.458041958041958
dataset6,0.1899099099099099,0.905945945945946,0.5971171171171171,0.7942342342342342,0.6414414414414414,0.5697297297297297,0.569009009009009,0.5618018018018018
dataset7,0.1002699575780948,0.8954878519089857,0.5063632857693791,0.7042036251446201,0.4516004627844195,0.368684920940995,0.3636714230620902,0.3729271114539144
dataset8,0.1106274936525208,0.915487849111353,0.5600290170475154,0.7479143997098295,0.5709104098657961,0.4845846935074356,0.485310119695321,0.480594849474066
dataset9,0.2110128617363344,0.9188102893890676,0.6627813504823151,0.8356109324758842,0.6852893890675241,0.622588424437299,0.6185691318327974,0.6221864951768489
dataset10,0.09125,0.89375,0.4670833333333333,0.71875,0.4566666666666666,0.3820833333333333,0.3795833333333333,0.3795833333333333
dataset11,0.1192660550458715,0.9236697247706422,0.5291743119266055,0.7930275229357798,0.5313761467889908,0.4422018348623853,0.4447706422018349,0.4377981651376146
dataset12,0.1202590194264569,0.8769657724329325,0.5004625346901017,0.7414431082331174,0.4888991674375578,0.4079555966697502,0.4000925069380203,0.4116558741905643
dataset13,0.1052437223042836,0.9158050221565732,0.569423929098966,0.7880354505169868,0.5450516986706057,0.4553175775480059,0.4586410635155096,0.4508862629246676
dataset14,0.2344028520499108,0.9019607843137256,0.6599821746880571,0.8097147950089126,0.7009803921568627,0.6421568627450981,0.6372549019607843,0.6399286987522281
dataset15,0.1424571228561428,0.8855442772138606,0.5295764788239412,0.7511375568778439,0.5498774938746938,0.464123206160308,0.4588729436471823,0.4613230661533076
dataset16,0.0940060370849504,0.8555411815437689,0.4484691677447175,0.6834842604570935,0.4299266925398878,0.3635187580853816,0.364381198792583,0.3605002156101768
dataset17,0.0957542908762421,0.8640469738030714,0.4665763324299909,0.6811201445347786,0.4313459801264679,0.3644986449864498,0.3654019873532069,0.3640469738030714
dataset18,0.2212885154061624,0.9091636654661864,0.6182472989195679,0.7955182072829131,0.6394557823129252,0.5818327330932372,0.5794317727090836,0.5758303321328532
dataset19,0.151671974522293,0.8777866242038217,0.518312101910828,0.7543789808917197,0.5545382165605095,0.4613853503184713,0.4609872611464968,0.4653662420382166
dataset20,0.2793563847997261,0.9147552208147894,0.7531667237247518,0.8517630948305375,0.7887709688462855,0.7398151318041767,0.735022252653201,0.7425539198904485
dataset21,0.0569588905398712,0.8642892521050025,0.4413075780089153,0.7052996532937098,0.4036651807825656,0.3080733036156513,0.3090638930163447,0.3016344725111441
dataset22,0.123325635103926,0.869284064665127,0.479445727482679,0.7297921478060047,0.482217090069284,0.3972286374133949,0.3967667436489607,0.405080831408776
dataset23,0.1008695652173913,0.88,0.4869565217391304,0.7239130434782609,0.4495652173913043,0.3660869565217391,0.3673913043478261,0.3669565217391304
dataset24,0.1241694352159468,0.895764119601329,0.5232558139534884,0.7574750830564784,0.5419435215946844,0.4372923588039867,0.4385382059800664,0.4451827242524916
dataset25,0.1428571428571428,0.9013605442176872,0.5110544217687075,0.7538265306122449,0.548469387755102,0.4659863945578231,0.4634353741496598,0.4553571428571428
dataset26,0.2731829573934837,0.9187253848907984,0.6906552094522019,0.8367346938775511,0.7440028643036162,0.6913712853562478,0.6899391335481561,0.6849266022198353
dataset27,0.0703517587939698,0.8917313841936958,0.511192325262677,0.7432617633622659,0.4582000913659205,0.3645500228414801,0.3654636820465966,0.3636363636363636
dataset28,0.1667234913058302,0.9127173542448004,0.5976815547221275,0.7903170814865326,0.6116604159563587,0.530855779065803,0.5284691442209342,0.5301738833958405
dataset29,0.07185906351414,0.8864163189615206,0.4320815948076031,0.7371349095966621,0.4140009272137228,0.3198887343532684,0.321279554937413,0.3245248029670839
dataset30,0.0970873786407767,0.8877163360067539,0.4769945124525116,0.7475728155339806,0.4812157028281975,0.3972140143520473,0.3832840861122836,0.3934149430139299
dataset31,0.1610051186598418,0.8897161470451372,0.5411819450907399,0.7636109818520243,0.5667752442996743,0.4969753373662168,0.4946486738017682,0.5002326663564448
dataset32,0.0755813953488372,0.8877459749552773,0.4830053667262969,0.7151162790697675,0.4570661896243291,0.3550983899821109,0.35912343470483,0.3524150268336314
dataset33,0.1428571428571428,1.0,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.5,0.5,0.5
dataset34,0.1882998171846435,0.9210237659963436,0.6164533820840951,0.8248628884826326,0.6628884826325412,0.5850091407678245,0.5875685557586837,0.5846435100548446
dataset35,0.1037891268533772,0.8797364085667215,0.4876441515650741,0.735996705107084,0.4897034596375618,0.414332784184514,0.4040362438220757,0.4122734761120263
dataset36,0.1695961995249406,0.8997624703087886,0.5876484560570071,0.7771971496437055,0.6109263657957245,0.5368171021377672,0.5382422802850356,0.5401425178147269
