,ADVO,ADVO,Baseline,Baseline,Baseline_balanced,Baseline_balanced,CTGAN,CTGAN,KMeansSMOTE,KMeansSMOTE,Random,Random,SMOTE,SMOTE,TIMEGAN,TIMEGAN
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Precision,0.12,0.06,0.21,0.06,0.04,0.02,0.12,0.05,0.09,0.05,0.07,0.04,0.11,0.05,0.12,0.07
Recall,0.47,0.1,0.14,0.05,0.9,0.02,0.47,0.1,0.55,0.1,0.77,0.05,0.54,0.07,0.47,0.1
F1,0.18,0.07,0.17,0.05,0.08,0.03,0.18,0.06,0.15,0.06,0.12,0.06,0.18,0.07,0.19,0.07
PRAUC,0.18,0.08,0.13,0.07,0.28,0.08,0.17,0.07,0.16,0.07,0.2,0.08,0.2,0.08,0.18,0.08
PRAUC_C,0.33,0.08,0.26,0.09,0.46,0.06,0.33,0.08,0.35,0.07,0.43,0.07,0.38,0.06,0.33,0.08
Pk50,0.4,0.11,0.49,0.12,0.13,0.14,0.37,0.13,0.18,0.1,0.11,0.09,0.17,0.1,0.42,0.12
Pk100,0.39,0.09,0.47,0.11,0.12,0.1,0.38,0.11,0.17,0.08,0.12,0.09,0.18,0.09,0.4,0.1
Pk200,0.39,0.08,0.42,0.11,0.12,0.08,0.39,0.09,0.17,0.08,0.11,0.07,0.19,0.08,0.4,0.09
Pk500,0.37,0.09,0.32,0.11,0.11,0.05,0.37,0.09,0.18,0.06,0.12,0.06,0.2,0.06,0.37,0.09
Pk1000,0.33,0.09,0.25,0.08,0.1,0.04,0.32,0.09,0.18,0.06,0.11,0.05,0.21,0.07,0.33,0.09
Pk2000,0.26,0.07,0.18,0.06,0.11,0.04,0.26,0.07,0.17,0.06,0.11,0.04,0.22,0.07,0.26,0.07
