TX_TIME,TX_DAY,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD,X_TERMINAL,Y_TERMINAL,TX_DATETIME
66724,1,0,3061,17.84,False,0.2,-0.0,2018-04-02 18:32:04
43600,8,0,3061,23.24,False,0.2,-0.0,2018-04-09 12:06:40
42181,9,1,1941,44.26,False,8.84,47.08,2018-04-10 11:43:01
42265,1,2,4204,5.55,False,-18.57,17.45,2018-04-02 11:44:25
45047,2,2,2298,8.39,True,4.15,37.03,2018-04-03 12:30:47
58698,2,2,5315,16.31,True,-1.31,-27.72,2018-04-03 16:18:18
61253,3,2,4500,16.69,True,-45.1,-7.25,2018-04-04 17:00:53
42773,5,2,1405,30.27,True,-7.85,-9.56,2018-04-06 11:52:53
86164,6,2,5187,33.6,True,-49.83,2.04,2018-04-07 23:56:04
3200,8,2,927,44.18,True,-0.65,45.94,2018-04-09 00:53:20
69637,8,2,1143,53.94,True,-23.76,42.37,2018-04-09 19:20:37
86400,8,2,4281,70.23,True,24.18,-22.18,2018-04-10 00:00:00
86400,8,2,4600,71.89,True,-44.27,16.59,2018-04-10 00:00:00
86400,8,2,1821,91.7,True,-22.88,4.92,2018-04-10 00:00:00
86400,8,2,6521,105.78,True,25.45,-40.32,2018-04-10 00:00:00
41500,9,2,4890,105.62,True,-14.27,11.39,2018-04-10 11:31:40
27008,0,3,4367,48.28,False,19.17,-2.17,2018-04-01 07:30:08
36818,1,3,7547,7.34,True,-29.6,1.63,2018-04-02 10:13:38
63757,1,3,2891,0.31,True,23.26,18.63,2018-04-02 17:42:37
75547,2,3,2356,4.48,True,0.17,-12.83,2018-04-03 20:59:07
86206,2,3,783,3.68,True,27.54,18.85,2018-04-03 23:56:46
64870,3,3,4241,4.61,True,42.24,-19.19,2018-04-04 18:01:10
86400,3,3,1306,8.61,True,-0.7,-12.32,2018-04-05 00:00:00
86400,3,3,6439,23.55,True,7.58,26.25,2018-04-05 00:00:00
52551,4,3,4437,36.78,True,35.15,30.03,2018-04-05 14:35:51
54073,4,3,6294,49.87,True,-9.8,-46.37,2018-04-05 15:01:13
61222,4,3,2777,48.02,True,-10.29,-40.46,2018-04-05 17:00:22
86068,5,3,658,49.49,True,-3.04,-26.14,2018-04-06 23:54:28
86400,5,3,1367,58.88,True,10.34,-45.99,2018-04-07 00:00:00
86400,5,3,667,59.96,True,-28.57,-39.49,2018-04-07 00:00:00
22316,6,3,7255,75.16,True,2.1,-46.66,2018-04-07 06:11:56
80514,6,3,6957,75.73,True,-0.51,-23.67,2018-04-07 22:21:54
60021,7,3,6570,91.51,True,-9.47,46.7,2018-04-08 16:40:21
63541,7,3,1345,108.93,True,-21.94,-14.94,2018-04-08 17:39:01
29230,8,3,2312,122.77,True,-19.43,-43.07,2018-04-09 08:07:10
52372,8,3,3528,142.55,True,0.77,40.13,2018-04-09 14:32:52
54307,8,3,2109,168.21,True,-0.5,34.46,2018-04-09 15:05:07
50792,9,3,736,182.62,True,-36.2,24.89,2018-04-10 14:06:32
62156,9,3,249,200.31,True,48.54,-4.22,2018-04-10 17:15:56
73361,9,3,7371,214.98,True,-36.18,17.74,2018-04-10 20:22:41
76920,9,3,7127,265.38,True,35.3,-20.58,2018-04-10 21:22:00
46065,0,4,1391,61.77,False,13.14,-47.27,2018-04-01 12:47:45
72709,1,4,6854,27.49,False,14.1,-46.78,2018-04-02 20:11:49
36504,1,4,1391,64.78,False,13.14,-47.27,2018-04-02 10:08:24
20009,2,4,1391,85.46,False,13.14,-47.27,2018-04-03 05:33:29
25916,2,4,1391,100.0,False,13.14,-47.27,2018-04-03 07:11:56
43743,2,4,1391,68.5,False,13.14,-47.27,2018-04-03 12:09:03
35789,2,4,1391,87.9,False,13.14,-47.27,2018-04-03 09:56:29
59396,2,4,1391,92.0,False,13.14,-47.27,2018-04-03 16:29:56
59694,2,4,1391,128.48,False,13.14,-47.27,2018-04-03 16:34:54
69878,3,4,7700,45.88,True,17.84,25.52,2018-04-04 19:24:38
72484,3,4,5964,86.4,True,1.65,23.24,2018-04-04 20:08:04
53048,4,4,6603,106.6,True,16.88,-26.48,2018-04-05 14:44:08
64340,4,4,2963,90.64,True,-17.98,-34.43,2018-04-05 17:52:20
67118,4,4,1454,127.54,True,-5.06,14.34,2018-04-05 18:38:38
80357,4,4,6846,144.76,True,18.68,33.27,2018-04-05 22:19:17
83067,4,4,3379,182.52,True,-11.46,48.63,2018-04-05 23:04:27
58867,5,4,2843,190.87,True,21.28,-13.17,2018-04-06 16:21:07
82146,6,4,1852,213.27,True,35.5,-31.35,2018-04-07 22:49:06
60262,7,4,1479,221.84,True,4.81,-12.83,2018-04-08 16:44:22
76460,7,4,6092,258.99,True,-0.81,-3.54,2018-04-08 21:14:20
83258,7,4,1249,271.92,True,-41.0,26.9,2018-04-08 23:07:38
27034,8,4,5229,287.37,True,-1.0,-0.15,2018-04-09 07:30:34
64075,8,4,427,266.45,True,3.73,9.55,2018-04-09 17:47:55
72136,8,4,3318,301.47,True,-38.68,-23.66,2018-04-09 20:02:16
85842,8,4,6034,345.22,True,-19.13,38.7,2018-04-09 23:50:42
29036,9,4,7535,379.51,True,7.15,46.1,2018-04-10 08:03:56
68318,9,4,5044,438.92,True,5.45,37.47,2018-04-10 18:58:38
65688,0,5,5442,24.89,False,-8.77,-24.14,2018-04-01 18:14:48
34915,1,5,1156,8.17,False,-7.29,-23.58,2018-04-02 09:41:55
42165,1,5,7149,8.73,False,-7.02,-24.06,2018-04-02 11:42:45
46499,1,5,5385,24.26,False,-7.54,-22.39,2018-04-02 12:54:59
39837,3,5,1156,16.65,False,-7.29,-23.58,2018-04-04 11:03:57
41323,4,5,5442,21.71,False,-8.77,-24.14,2018-04-05 11:28:43
29844,4,5,1728,0.0,False,-9.08,-23.31,2018-04-05 08:17:24
52617,5,5,1156,23.14,False,-7.29,-23.58,2018-04-06 14:36:57
52127,5,5,4546,10.53,False,-7.22,-23.3,2018-04-06 14:28:47
20499,5,5,2674,19.32,False,-7.9,-21.07,2018-04-06 05:41:39
46029,5,5,1728,14.52,False,-9.08,-23.31,2018-04-06 12:47:09
53036,6,5,1892,20.24,True,31.73,24.44,2018-04-07 14:43:56
58332,6,5,1182,14.83,True,27.78,7.83,2018-04-07 16:12:12
73742,6,5,5030,7.44,True,12.55,3.03,2018-04-07 20:29:02
86400,6,5,5551,9.55,True,-24.84,29.2,2018-04-08 00:00:00
56722,7,5,5621,24.88,True,-7.64,3.84,2018-04-08 15:45:22
43541,8,5,6508,33.9,True,-41.02,-10.55,2018-04-09 12:05:41
57561,9,5,5888,47.8,True,-6.11,-1.8,2018-04-10 15:59:21
62185,9,5,5070,52.03,True,-1.56,0.31,2018-04-10 17:16:25
69902,0,6,1060,105.43,False,-40.16,-1.31,2018-04-01 19:25:02
53281,0,6,1060,77.27,False,-40.16,-1.31,2018-04-01 14:48:01
49582,0,6,1060,114.35,False,-40.16,-1.31,2018-04-01 13:46:22
67671,0,6,1060,119.65,False,-40.16,-1.31,2018-04-01 18:47:51
44026,0,6,1060,91.67,False,-40.16,-1.31,2018-04-01 12:13:46
70070,0,6,1060,49.38,False,-40.16,-1.31,2018-04-01 19:27:50
36831,1,6,1060,72.33,False,-40.16,-1.31,2018-04-02 10:13:51
61191,1,6,1060,104.59,False,-40.16,-1.31,2018-04-02 16:59:51
38582,1,6,1060,17.63,False,-40.16,-1.31,2018-04-02 10:43:02
48123,1,6,1060,38.81,False,-40.16,-1.31,2018-04-02 13:22:03
13401,2,6,1060,26.41,False,-40.16,-1.31,2018-04-03 03:43:21
49727,2,6,1060,120.59,False,-40.16,-1.31,2018-04-03 13:48:47
43977,2,6,1060,79.34,False,-40.16,-1.31,2018-04-03 12:12:57
66857,2,6,1060,16.34,False,-40.16,-1.31,2018-04-03 18:34:17
53603,2,6,1060,71.34,False,-40.16,-1.31,2018-04-03 14:53:23
54521,2,6,1060,54.41,False,-40.16,-1.31,2018-04-03 15:08:41
26841,2,6,1060,76.8,False,-40.16,-1.31,2018-04-03 07:27:21
76183,2,6,1060,102.64,False,-40.16,-1.31,2018-04-03 21:09:43
33046,3,6,1060,23.64,False,-40.16,-1.31,2018-04-04 09:10:46
9558,4,6,1060,118.98,False,-40.16,-1.31,2018-04-05 02:39:18
24098,5,6,1060,60.08,False,-40.16,-1.31,2018-04-06 06:41:38
